"sim","solar_system","claim_count","agg_loss","theta_scenario","theta_used"
167,"Bayesia System",515,1964498701.31242,"theta_1",1
168,"Bayesia System",1864,7982708741.71364,"theta_1",1
169,"Bayesia System",1144,5060567835.62982,"theta_1",1
170,"Bayesia System",1319,6876567366.48533,"theta_1",1
171,"Bayesia System",4318,19078397362.7407,"theta_1",1
172,"Bayesia System",3196,13686201054.6257,"theta_1",1
173,"Bayesia System",797,3951161602.72681,"theta_1",1
174,"Bayesia System",176,680049144.872059,"theta_1",1
175,"Bayesia System",424,1952841795.22097,"theta_1",1
176,"Bayesia System",216,880598718.631143,"theta_1",1
177,"Bayesia System",763,3343073539.06758,"theta_1",1
178,"Bayesia System",679,3248908930.23779,"theta_1",1
179,"Bayesia System",632,2872242576.11548,"theta_1",1
180,"Bayesia System",546,2603102798.09567,"theta_1",1
181,"Bayesia System",33,102604460.086431,"theta_1",1
182,"Bayesia System",986,4200502611.45364,"theta_1",1
183,"Bayesia System",3453,16308371237.4759,"theta_1",1
184,"Bayesia System",211,973691672.152396,"theta_1",1
185,"Bayesia System",28,112012549.560568,"theta_1",1
186,"Bayesia System",1659,7088098597.50699,"theta_1",1
187,"Bayesia System",155,643100673.367155,"theta_1",1
188,"Bayesia System",211,703760892.112847,"theta_1",1
189,"Bayesia System",1316,5304527785.98913,"theta_1",1
190,"Bayesia System",13,65617688.3490769,"theta_1",1
191,"Bayesia System",718,3237280281.75255,"theta_1",1
192,"Bayesia System",99,431667082.324952,"theta_1",1
193,"Bayesia System",2169,9357246008.28138,"theta_1",1
194,"Bayesia System",1359,6413638729.13605,"theta_1",1
195,"Bayesia System",369,1557939384.53693,"theta_1",1
196,"Bayesia System",64,284318696.133362,"theta_1",1
197,"Bayesia System",626,2987448120.59259,"theta_1",1
198,"Bayesia System",1346,5874440684.83611,"theta_1",1
199,"Bayesia System",1068,4491736444.71973,"theta_1",1
200,"Bayesia System",1340,5769178183.76629,"theta_1",1
201,"Bayesia System",333,1553596495.54799,"theta_1",1
202,"Bayesia System",722,3098548777.15376,"theta_1",1
203,"Bayesia System",292,1130796526.07905,"theta_1",1
204,"Bayesia System",285,1228660963.73246,"theta_1",1
205,"Bayesia System",873,3770472310.25022,"theta_1",1
206,"Bayesia System",321,1285727887.67637,"theta_1",1
207,"Bayesia System",278,1430987969.27879,"theta_1",1
208,"Bayesia System",1529,6996205442.49322,"theta_1",1
209,"Bayesia System",874,3874053862.52797,"theta_1",1
210,"Bayesia System",1103,5847805591.82711,"theta_1",1
211,"Bayesia System",2705,11910733788.7758,"theta_1",1
212,"Bayesia System",525,2373662912.77953,"theta_1",1
213,"Bayesia System",40,191547810.462805,"theta_1",1
214,"Bayesia System",152,556118748.919937,"theta_1",1
215,"Bayesia System",1324,5798189664.83244,"theta_1",1
216,"Bayesia System",561,2457130676.40498,"theta_1",1
217,"Bayesia System",3720,16782126767.5948,"theta_1",1
218,"Bayesia System",924,4230925628.41974,"theta_1",1
219,"Bayesia System",765,3294042795.4343,"theta_1",1
220,"Bayesia System",604,3065892810.90548,"theta_1",1
221,"Bayesia System",444,2094996197.01859,"theta_1",1
222,"Bayesia System",0,0,"theta_1",1
223,"Bayesia System",121,545855177.393621,"theta_1",1
224,"Bayesia System",698,3290058594.4688,"theta_1",1
225,"Bayesia System",1006,4423440718.88869,"theta_1",1
226,"Bayesia System",602,2669639785.96716,"theta_1",1
227,"Bayesia System",326,1340183457.59659,"theta_1",1
228,"Bayesia System",626,2772140644.12201,"theta_1",1
229,"Bayesia System",257,1039886842.40199,"theta_1",1
230,"Bayesia System",1455,6093856286.04487,"theta_1",1
231,"Bayesia System",1355,5977857995.96556,"theta_1",1
232,"Bayesia System",1423,6243728694.56814,"theta_1",1
233,"Bayesia System",950,3872318123.89407,"theta_1",1
234,"Bayesia System",2823,12143911675.0572,"theta_1",1
235,"Bayesia System",767,3047160104.33822,"theta_1",1
236,"Bayesia System",405,1707701348.90984,"theta_1",1
237,"Bayesia System",554,2501963209.92836,"theta_1",1
238,"Bayesia System",796,3913391283.78643,"theta_1",1
239,"Bayesia System",706,3051556319.30616,"theta_1",1
240,"Bayesia System",633,2620675683.09372,"theta_1",1
241,"Bayesia System",358,1948690455.4019,"theta_1",1
242,"Bayesia System",2370,11232106972.5515,"theta_1",1
243,"Bayesia System",287,1340068992.15501,"theta_1",1
244,"Bayesia System",89,422188253.981104,"theta_1",1
245,"Bayesia System",404,1811642741.71896,"theta_1",1
246,"Bayesia System",421,1876596191.92186,"theta_1",1
247,"Bayesia System",492,2062346787.61982,"theta_1",1
248,"Bayesia System",2573,11275906267.7765,"theta_1",1
249,"Bayesia System",1506,6535581881.92312,"theta_1",1
250,"Bayesia System",7,24578083.6678048,"theta_1",1
251,"Bayesia System",403,1738512508.57902,"theta_1",1
252,"Bayesia System",333,1631657447.42903,"theta_1",1
253,"Bayesia System",530,2211207397.94188,"theta_1",1
254,"Bayesia System",457,1888391499.3345,"theta_1",1
255,"Bayesia System",166,829939929.744599,"theta_1",1
256,"Bayesia System",617,2867889498.87622,"theta_1",1
257,"Bayesia System",16,48653095.5256966,"theta_1",1
258,"Bayesia System",171,712797449.444789,"theta_1",1
259,"Bayesia System",1862,8047410414.68556,"theta_1",1
260,"Bayesia System",2047,9282952988.22383,"theta_1",1
261,"Bayesia System",405,1750560887.56511,"theta_1",1
262,"Bayesia System",84,409411669.838983,"theta_1",1
263,"Bayesia System",1113,4937943507.62562,"theta_1",1
264,"Bayesia System",239,1082425880.88517,"theta_1",1
265,"Bayesia System",2006,8734917557.29705,"theta_1",1
266,"Bayesia System",577,2551419464.50192,"theta_1",1
267,"Bayesia System",759,3272722724.61656,"theta_1",1
268,"Bayesia System",481,2044725872.58585,"theta_1",1
269,"Bayesia System",309,1219941396.53704,"theta_1",1
270,"Bayesia System",470,2136213116.39548,"theta_1",1
271,"Bayesia System",1490,6807088810.24771,"theta_1",1
272,"Bayesia System",3393,14307226393.5483,"theta_1",1
273,"Bayesia System",1321,5583953166.0393,"theta_1",1
274,"Bayesia System",406,1618612856.51447,"theta_1",1
275,"Bayesia System",635,2682036119.24206,"theta_1",1
276,"Bayesia System",1062,4735779239.83953,"theta_1",1
277,"Bayesia System",121,463697232.125136,"theta_1",1
278,"Bayesia System",710,2842872477.89906,"theta_1",1
279,"Bayesia System",437,1709220231.91609,"theta_1",1
280,"Bayesia System",350,1552154223.13988,"theta_1",1
281,"Bayesia System",422,1791805093.797,"theta_1",1
282,"Bayesia System",1228,5085597191.82301,"theta_1",1
283,"Bayesia System",1711,7950416625.85584,"theta_1",1
284,"Bayesia System",13,80459330.8560969,"theta_1",1
285,"Bayesia System",462,1972578864.32549,"theta_1",1
286,"Bayesia System",3,7196443.48881479,"theta_1",1
287,"Bayesia System",287,1188799191.98394,"theta_1",1
288,"Bayesia System",1135,4961780582.09488,"theta_1",1
289,"Bayesia System",1253,5544145655.05738,"theta_1",1
290,"Bayesia System",372,1528549765.30853,"theta_1",1
291,"Bayesia System",1076,4368559719.15742,"theta_1",1
292,"Bayesia System",745,3033396508.60744,"theta_1",1
293,"Bayesia System",4124,18233636024.6651,"theta_1",1
294,"Bayesia System",724,3218433922.25773,"theta_1",1
295,"Bayesia System",2847,12667113635.2287,"theta_1",1
296,"Bayesia System",1,2886904.67041608,"theta_1",1
297,"Bayesia System",982,4084636621.81578,"theta_1",1
298,"Bayesia System",680,3039838678.56778,"theta_1",1
299,"Bayesia System",280,1161566228.16115,"theta_1",1
300,"Bayesia System",1531,7246406619.77023,"theta_1",1
301,"Bayesia System",789,3530809787.00722,"theta_1",1
302,"Bayesia System",2020,8740033110.93868,"theta_1",1
303,"Bayesia System",2165,9201402066.65099,"theta_1",1
304,"Bayesia System",1273,6124681764.41282,"theta_1",1
305,"Bayesia System",1744,7767079210.06578,"theta_1",1
306,"Bayesia System",284,1330697252.43084,"theta_1",1
307,"Bayesia System",835,3220918076.36914,"theta_1",1
308,"Bayesia System",431,1729432855.79702,"theta_1",1
309,"Bayesia System",46,220203170.756748,"theta_1",1
310,"Bayesia System",401,1725582265.68288,"theta_1",1
311,"Bayesia System",652,2754472115.35678,"theta_1",1
312,"Bayesia System",801,3454944070.84981,"theta_1",1
313,"Bayesia System",1519,6735530674.62775,"theta_1",1
314,"Bayesia System",897,4025800042.6951,"theta_1",1
315,"Bayesia System",761,3146410448.05434,"theta_1",1
316,"Bayesia System",17,93619006.5095084,"theta_1",1
317,"Bayesia System",1696,7170735467.00949,"theta_1",1
318,"Bayesia System",477,2051670446.72146,"theta_1",1
319,"Bayesia System",870,3735801547.74992,"theta_1",1
320,"Bayesia System",259,1190585982.43057,"theta_1",1
321,"Bayesia System",1095,4581046774.19744,"theta_1",1
322,"Bayesia System",434,1850865391.15828,"theta_1",1
323,"Bayesia System",244,949505282.380966,"theta_1",1
324,"Bayesia System",401,1790542234.89906,"theta_1",1
325,"Bayesia System",31,148579827.324333,"theta_1",1
326,"Bayesia System",287,1420388904.67631,"theta_1",1
327,"Bayesia System",322,1279436770.26726,"theta_1",1
328,"Bayesia System",141,627083190.60708,"theta_1",1
329,"Bayesia System",1365,6640972345.23886,"theta_1",1
330,"Bayesia System",165,756276432.813112,"theta_1",1
331,"Bayesia System",680,2652837019.35541,"theta_1",1
332,"Bayesia System",2146,10711116688.463,"theta_1",1
333,"Bayesia System",1417,6192254066.1304,"theta_1",1
334,"Bayesia System",3419,15006757396.3721,"theta_1",1
335,"Bayesia System",529,2361528029.40164,"theta_1",1
336,"Bayesia System",501,2388355966.48981,"theta_1",1
337,"Bayesia System",40,226246256.358735,"theta_1",1
338,"Bayesia System",161,736016074.07217,"theta_1",1
339,"Bayesia System",796,3295810220.90952,"theta_1",1
340,"Bayesia System",92,370226895.626321,"theta_1",1
341,"Bayesia System",1130,5002047447.20137,"theta_1",1
342,"Bayesia System",19,77225005.0042272,"theta_1",1
343,"Bayesia System",5720,25302111878.1075,"theta_1",1
344,"Bayesia System",26,127233979.223053,"theta_1",1
345,"Bayesia System",22,55111650.3462152,"theta_1",1
346,"Bayesia System",735,3295275648.44557,"theta_1",1
347,"Bayesia System",37,125832140.72194,"theta_1",1
348,"Bayesia System",387,1725951205.99014,"theta_1",1
349,"Bayesia System",680,2666958524.73255,"theta_1",1
350,"Bayesia System",1499,6621697326.43852,"theta_1",1
351,"Bayesia System",3668,15740690028.7254,"theta_1",1
352,"Bayesia System",228,1129577311.8249,"theta_1",1
353,"Bayesia System",10,14750809.845236,"theta_1",1
354,"Bayesia System",361,1541009301.25809,"theta_1",1
355,"Bayesia System",107,586598114.788249,"theta_1",1
356,"Bayesia System",2465,11322185898.6639,"theta_1",1
357,"Bayesia System",1164,4853858151.57572,"theta_1",1
358,"Bayesia System",82,439345964.46226,"theta_1",1
359,"Bayesia System",2394,10433010584.3862,"theta_1",1
360,"Bayesia System",852,3614196441.01432,"theta_1",1
361,"Bayesia System",15,47486541.5443063,"theta_1",1
362,"Bayesia System",1456,6545303868.79582,"theta_1",1
363,"Bayesia System",575,2447901890.01789,"theta_1",1
364,"Bayesia System",30,171642246.753223,"theta_1",1
365,"Bayesia System",320,1308728322.23937,"theta_1",1
366,"Bayesia System",4572,20910772704.377,"theta_1",1
367,"Bayesia System",381,1592834511.69555,"theta_1",1
368,"Bayesia System",90,461426395.407273,"theta_1",1
369,"Bayesia System",83,409434984.677981,"theta_1",1
370,"Bayesia System",1007,5025934993.9792,"theta_1",1
371,"Bayesia System",133,586302652.804969,"theta_1",1
372,"Bayesia System",381,1522080303.85483,"theta_1",1
373,"Bayesia System",864,4044118323.09239,"theta_1",1
374,"Bayesia System",501,2452462254.358,"theta_1",1
375,"Bayesia System",35,316132872.006084,"theta_1",1
376,"Bayesia System",214,780262382.945991,"theta_1",1
377,"Bayesia System",418,2126247186.81744,"theta_1",1
378,"Bayesia System",760,3119276880.9224,"theta_1",1
379,"Bayesia System",806,3528868039.36038,"theta_1",1
380,"Bayesia System",1240,5229012662.19684,"theta_1",1
381,"Bayesia System",457,1993208480.90795,"theta_1",1
382,"Bayesia System",140,700936774.125051,"theta_1",1
383,"Bayesia System",1508,7995671994.94407,"theta_1",1
384,"Bayesia System",348,1514258529.65967,"theta_1",1
385,"Bayesia System",4360,18753001841.289,"theta_1",1
386,"Bayesia System",6,59386800.3766383,"theta_1",1
387,"Bayesia System",216,956352106.408755,"theta_1",1
388,"Bayesia System",3587,15555412715.5912,"theta_1",1
389,"Bayesia System",65,257007838.90556,"theta_1",1
390,"Bayesia System",217,939300187.164194,"theta_1",1
391,"Bayesia System",169,796340368.410766,"theta_1",1
392,"Bayesia System",1615,6880180724.44505,"theta_1",1
393,"Bayesia System",181,854235507.668512,"theta_1",1
394,"Bayesia System",226,1096669856.93055,"theta_1",1
395,"Bayesia System",893,3532837518.40936,"theta_1",1
396,"Bayesia System",1232,5102933022.97328,"theta_1",1
397,"Bayesia System",274,1217179525.03976,"theta_1",1
398,"Bayesia System",698,3000376721.91356,"theta_1",1
399,"Bayesia System",355,1571439887.80184,"theta_1",1
400,"Bayesia System",1572,6553131420.01704,"theta_1",1
401,"Bayesia System",709,3368439420.36341,"theta_1",1
402,"Bayesia System",1962,9129604980.88011,"theta_1",1
403,"Bayesia System",305,1471639748.1738,"theta_1",1
404,"Bayesia System",839,3425362701.50484,"theta_1",1
405,"Bayesia System",557,2482913946.62851,"theta_1",1
406,"Bayesia System",106,400084742.762251,"theta_1",1
407,"Bayesia System",99,342826885.711457,"theta_1",1
408,"Bayesia System",7,20218833.5793695,"theta_1",1
409,"Bayesia System",838,3748311583.45678,"theta_1",1
410,"Bayesia System",49,172246801.002442,"theta_1",1
411,"Bayesia System",1158,4638241180.58902,"theta_1",1
412,"Bayesia System",3748,16518795673.8855,"theta_1",1
413,"Bayesia System",1615,6620961054.56293,"theta_1",1
414,"Bayesia System",107,535728433.703059,"theta_1",1
415,"Bayesia System",2405,11487742730.937,"theta_1",1
416,"Bayesia System",1995,8011483745.89098,"theta_1",1
417,"Bayesia System",1816,7965994095.9197,"theta_1",1
418,"Bayesia System",1908,8192794996.20351,"theta_1",1
419,"Bayesia System",1068,4750739370.73544,"theta_1",1
420,"Bayesia System",36,173139097.41892,"theta_1",1
421,"Bayesia System",727,3031654185.4803,"theta_1",1
422,"Bayesia System",240,1225475410.34662,"theta_1",1
423,"Bayesia System",1489,6427493521.47341,"theta_1",1
424,"Bayesia System",292,1248579571.66436,"theta_1",1
425,"Bayesia System",889,3724595842.64602,"theta_1",1
426,"Bayesia System",104,402134546.679046,"theta_1",1
427,"Bayesia System",879,3735590563.8576,"theta_1",1
428,"Bayesia System",3292,15024155858.1421,"theta_1",1
429,"Bayesia System",70,340704388.069003,"theta_1",1
430,"Bayesia System",1489,6449050620.74776,"theta_1",1
431,"Bayesia System",46,156390438.288352,"theta_1",1
432,"Bayesia System",131,507740104.6825,"theta_1",1
433,"Bayesia System",929,4238659796.97725,"theta_1",1
434,"Bayesia System",996,4714201509.29289,"theta_1",1
435,"Bayesia System",831,3573516276.92993,"theta_1",1
436,"Bayesia System",1039,4256379670.81559,"theta_1",1
437,"Bayesia System",837,3466963245.24486,"theta_1",1
438,"Bayesia System",2211,9907221393.78895,"theta_1",1
439,"Bayesia System",1152,4740831602.31513,"theta_1",1
440,"Bayesia System",2514,10686977106.1945,"theta_1",1
441,"Bayesia System",517,2272177388.19151,"theta_1",1
442,"Bayesia System",40,154215000.292109,"theta_1",1
443,"Bayesia System",302,1461382179.33843,"theta_1",1
444,"Bayesia System",550,2372995176.90056,"theta_1",1
445,"Bayesia System",405,1474218915.36096,"theta_1",1
446,"Bayesia System",421,1565708814.29343,"theta_1",1
447,"Bayesia System",206,1122392772.82097,"theta_1",1
448,"Bayesia System",292,1233015134.66164,"theta_1",1
449,"Bayesia System",256,1131234027.58842,"theta_1",1
450,"Bayesia System",487,2028762288.82797,"theta_1",1
451,"Bayesia System",316,1277628845.2676,"theta_1",1
452,"Bayesia System",79,376366354.715946,"theta_1",1
453,"Bayesia System",187,765077667.917133,"theta_1",1
454,"Bayesia System",44,175411931.830538,"theta_1",1
455,"Bayesia System",1012,4500905404.33301,"theta_1",1
456,"Bayesia System",1054,4388721165.24219,"theta_1",1
457,"Bayesia System",2088,9184960108.05582,"theta_1",1
458,"Bayesia System",1097,4573292476.25666,"theta_1",1
459,"Bayesia System",2158,9251472765.78159,"theta_1",1
460,"Bayesia System",3090,13293026768.1772,"theta_1",1
461,"Bayesia System",1692,7244680980.43921,"theta_1",1
462,"Bayesia System",967,4467156083.6051,"theta_1",1
463,"Bayesia System",158,660326035.242298,"theta_1",1
464,"Bayesia System",544,2057945761.9866,"theta_1",1
465,"Bayesia System",1202,4866243577.89311,"theta_1",1
466,"Bayesia System",1500,6227446619.54903,"theta_1",1
467,"Bayesia System",2016,8336657433.42705,"theta_1",1
468,"Bayesia System",2288,9541002013.56518,"theta_1",1
469,"Bayesia System",225,873835406.647875,"theta_1",1
470,"Bayesia System",94,295979532.502492,"theta_1",1
471,"Bayesia System",1008,4586084048.59821,"theta_1",1
472,"Bayesia System",2003,7903227477.09738,"theta_1",1
473,"Bayesia System",358,1598489685.73123,"theta_1",1
474,"Bayesia System",3514,15453934797.714,"theta_1",1
475,"Bayesia System",9,33337922.8531595,"theta_1",1
476,"Bayesia System",1790,8334652149.25413,"theta_1",1
477,"Bayesia System",378,1684919250.46107,"theta_1",1
478,"Bayesia System",886,3910128824.62542,"theta_1",1
479,"Bayesia System",178,730338049.138087,"theta_1",1
480,"Bayesia System",3253,14469086629.9371,"theta_1",1
481,"Bayesia System",846,3555433268.93533,"theta_1",1
482,"Bayesia System",980,4493568802.40645,"theta_1",1
483,"Bayesia System",4617,19803570686.8791,"theta_1",1
484,"Bayesia System",3541,15779423534.1769,"theta_1",1
485,"Bayesia System",593,2646813950.6039,"theta_1",1
486,"Bayesia System",9,54056209.9236209,"theta_1",1
487,"Bayesia System",1632,7241594339.50315,"theta_1",1
488,"Bayesia System",179,893619998.315856,"theta_1",1
489,"Bayesia System",4403,18444036119.3653,"theta_1",1
490,"Bayesia System",945,4158697470.09002,"theta_1",1
491,"Bayesia System",99,421460412.83461,"theta_1",1
492,"Bayesia System",910,3954015190.52116,"theta_1",1
493,"Bayesia System",540,2524416625.18886,"theta_1",1
494,"Bayesia System",347,1507223115.04197,"theta_1",1
495,"Bayesia System",1053,4368614339.35025,"theta_1",1
496,"Bayesia System",170,781498191.801575,"theta_1",1
