"sim","equipment_type","agg_loss","claim_count"
12,"Flux Rider",43309821.3,562
12,"Graviton Extractor",6445494.21,96
12,"Ion Pulverizer",651874.08,11
12,"Quantum Bore",12726244.12,101
12,"ReglAggregators",5963173.09,73
13,"FexStram Carrier",4749972.04,58
13,"Flux Rider",43975682.18,561
13,"Graviton Extractor",6524349.23,87
13,"Ion Pulverizer",836325.42,14
13,"Quantum Bore",9757464.46,77
13,"ReglAggregators",5243908.14,72
14,"FexStram Carrier",4604787.07,64
14,"Flux Rider",42635330.97,553
14,"Graviton Extractor",5095626.77,66
14,"Ion Pulverizer",1165132.48,19
14,"Quantum Bore",14994142.73,87
14,"ReglAggregators",4259393.45,58
15,"FexStram Carrier",4605559.84,57
15,"Flux Rider",46541809.86,625
15,"Graviton Extractor",6504936.2,86
15,"Ion Pulverizer",1412855.86,18
15,"Quantum Bore",9991340.23,83
15,"ReglAggregators",6285650.41,79
16,"FexStram Carrier",3753713.52,50
16,"Flux Rider",40065148.92,544
16,"Graviton Extractor",6316190.9,82
16,"Ion Pulverizer",1104611.88,15
16,"Quantum Bore",11650973.78,97
16,"ReglAggregators",7447335.72,88
17,"FexStram Carrier",5298235.07,68
17,"Flux Rider",39201863.79,539
17,"Graviton Extractor",6271176.71,73
17,"Ion Pulverizer",1053069.67,15
17,"Quantum Bore",10976940.48,84
17,"ReglAggregators",5571844.34,74
18,"FexStram Carrier",4354186.9,51
18,"Flux Rider",47751325.59,630
18,"Graviton Extractor",7539157.87,95
18,"Ion Pulverizer",892051.31,12
18,"Quantum Bore",9134139.09,74
18,"ReglAggregators",4525790.06,61
19,"FexStram Carrier",4189830.55,60
19,"Flux Rider",43227466.44,540
19,"Graviton Extractor",6001433.41,78
19,"Ion Pulverizer",1665278.25,21
19,"Quantum Bore",10512652.28,82
19,"ReglAggregators",6633449.2,81
20,"FexStram Carrier",4462040.66,49
20,"Flux Rider",41101901.99,548
20,"Graviton Extractor",6513343.31,86
20,"Ion Pulverizer",1491746.95,24
20,"Quantum Bore",12865222.85,65
20,"ReglAggregators",3924668.29,52
21,"FexStram Carrier",3700389.09,57
21,"Flux Rider",44426181.51,596
21,"Graviton Extractor",4848236.49,66
21,"Ion Pulverizer",1562545,22
21,"Quantum Bore",9455467.61,83
21,"ReglAggregators",5468734.22,71
22,"FexStram Carrier",3804927.87,53
22,"Flux Rider",43688968.35,590
22,"Graviton Extractor",6680128.41,87
22,"Ion Pulverizer",804916.98,13
22,"Quantum Bore",13813402.97,86
22,"ReglAggregators",4782825.3,66
23,"FexStram Carrier",3748956.2,44
23,"Flux Rider",41444253.42,543
23,"Graviton Extractor",5871066.78,83
23,"Ion Pulverizer",1242999.8,15
23,"Quantum Bore",10856999.01,86
23,"ReglAggregators",5721838.37,82
24,"FexStram Carrier",4952668.76,67
24,"Flux Rider",43836334.96,574
24,"Graviton Extractor",5489960.73,79
24,"Ion Pulverizer",1122837.65,14
24,"Quantum Bore",16505182.39,86
24,"ReglAggregators",5994641.89,79
25,"FexStram Carrier",3841429.63,58
25,"Flux Rider",45456140.97,577
25,"Graviton Extractor",7106396.3,87
25,"Ion Pulverizer",2484618.23,27
25,"Quantum Bore",11674384.29,85
25,"ReglAggregators",5787709.88,75
26,"FexStram Carrier",4725253.86,60
26,"Flux Rider",44200844.73,586
26,"Graviton Extractor",8447154.92,97
26,"Ion Pulverizer",874051.01,8
26,"Quantum Bore",10701788.14,93
26,"ReglAggregators",4099994.85,59
27,"FexStram Carrier",6636922.55,84
27,"Flux Rider",40871851.27,540
27,"Graviton Extractor",5927922.42,77
27,"Ion Pulverizer",1195743.95,18
27,"Quantum Bore",10870072.58,90
27,"ReglAggregators",5673022.61,77
28,"FexStram Carrier",5567987.63,66
28,"Flux Rider",44023129.99,574
28,"Graviton Extractor",5134958.95,76
28,"Ion Pulverizer",1163089.57,16
28,"Quantum Bore",10170135.43,81
28,"ReglAggregators",5175944.71,69
29,"FexStram Carrier",4767348.18,62
29,"Flux Rider",44513335.31,558
29,"Graviton Extractor",6034513.38,76
29,"Ion Pulverizer",1165171.16,13
29,"Quantum Bore",9904817.99,85
29,"ReglAggregators",5637588.02,77
30,"FexStram Carrier",4544810.67,57
30,"Flux Rider",42769699.64,576
30,"Graviton Extractor",7489610.69,90
30,"Ion Pulverizer",1167855.38,19
30,"Quantum Bore",10764605.02,88
30,"ReglAggregators",5114435.11,71
31,"FexStram Carrier",5097393.87,66
31,"Flux Rider",39404271.84,529
31,"Graviton Extractor",5821248.72,77
31,"Ion Pulverizer",1498358.1,16
31,"Quantum Bore",13741210.49,80
31,"ReglAggregators",6188089.27,74
32,"FexStram Carrier",3783175.1,54
32,"Flux Rider",40119383.75,532
32,"Graviton Extractor",4613407.53,70
32,"Ion Pulverizer",1446446.06,15
32,"Quantum Bore",9793615.47,80
32,"ReglAggregators",6114234.26,82
33,"FexStram Carrier",3648784.01,51
33,"Flux Rider",41572805.55,546
33,"Graviton Extractor",6614185.31,87
33,"Ion Pulverizer",1670506.87,18
33,"Quantum Bore",8397218.76,69
33,"ReglAggregators",5331757.89,76
34,"FexStram Carrier",4950592.68,59
34,"Flux Rider",43947462.72,571
34,"Graviton Extractor",8012513.9,101
34,"Ion Pulverizer",1304492.73,17
34,"Quantum Bore",9784671.55,73
34,"ReglAggregators",7061915.49,90
35,"FexStram Carrier",3827848.43,59
35,"Flux Rider",43964729.66,583
35,"Graviton Extractor",6235213.79,84
35,"Ion Pulverizer",559410.98,11
35,"Quantum Bore",11231602.92,77
35,"ReglAggregators",5612856.18,82
36,"FexStram Carrier",3868610.31,47
36,"Flux Rider",42466025.32,565
36,"Graviton Extractor",5316255.05,76
36,"Ion Pulverizer",1870434,29
36,"Quantum Bore",10584413.11,81
36,"ReglAggregators",5694875.03,69
37,"FexStram Carrier",4632155.35,66
37,"Flux Rider",43747944.77,581
37,"Graviton Extractor",5917841.17,71
37,"Ion Pulverizer",1623065.51,23
37,"Quantum Bore",8646552.9,77
37,"ReglAggregators",5293764.21,66
38,"FexStram Carrier",3524552.85,54
38,"Flux Rider",41340918.05,538
38,"Graviton Extractor",4448863.23,66
38,"Ion Pulverizer",1744647.39,24
38,"Quantum Bore",11238737.37,88
38,"ReglAggregators",5614140.81,73
39,"FexStram Carrier",4164573.97,52
39,"Flux Rider",44006276.79,576
39,"Graviton Extractor",6821963.59,87
39,"Ion Pulverizer",1306454.69,21
39,"Quantum Bore",7688437.87,72
39,"ReglAggregators",5552575.14,68
40,"FexStram Carrier",5304840.7,61
40,"Flux Rider",40179790.09,549
40,"Graviton Extractor",6218038.32,83
40,"Ion Pulverizer",1276256.4,17
40,"Quantum Bore",10067687.43,80
40,"ReglAggregators",4052168.31,61
41,"FexStram Carrier",3926916.27,53
41,"Flux Rider",44788173.9,596
41,"Graviton Extractor",6433068.61,88
41,"Ion Pulverizer",870287.23,9
41,"Quantum Bore",10550201.47,82
41,"ReglAggregators",4292874.2,62
42,"FexStram Carrier",5453523.42,65
42,"Flux Rider",42377081.27,542
42,"Graviton Extractor",7559473.69,95
42,"Ion Pulverizer",900787.05,14
42,"Quantum Bore",23223870.03,95
42,"ReglAggregators",5706066.79,69
43,"FexStram Carrier",3890323.3,52
43,"Flux Rider",44016722.56,568
43,"Graviton Extractor",6335795.41,83
43,"Ion Pulverizer",1296689.31,21
43,"Quantum Bore",8642654.33,70
43,"ReglAggregators",4563735.71,61
44,"FexStram Carrier",3661627.12,45
44,"Flux Rider",40746595.3,531
44,"Graviton Extractor",5179631.27,70
44,"Ion Pulverizer",1404331.33,15
44,"Quantum Bore",8574812.37,73
44,"ReglAggregators",7202736.16,77
45,"FexStram Carrier",4469392.01,58
45,"Flux Rider",43746224.48,548
45,"Graviton Extractor",5595109.32,79
45,"Ion Pulverizer",1296103.75,14
45,"Quantum Bore",9973094.63,85
45,"ReglAggregators",5587680.45,75
46,"FexStram Carrier",3436925.51,45
46,"Flux Rider",40137431.21,537
46,"Graviton Extractor",7039505.45,84
46,"Ion Pulverizer",860193.71,13
46,"Quantum Bore",10311672.69,94
46,"ReglAggregators",6170826.37,85
47,"FexStram Carrier",4359307.6,52
47,"Flux Rider",42615738.58,550
47,"Graviton Extractor",6259093.41,78
47,"Ion Pulverizer",1398263.74,17
47,"Quantum Bore",11471907.94,87
47,"ReglAggregators",5560843.64,73
48,"FexStram Carrier",4234552.06,55
48,"Flux Rider",44137889.45,579
48,"Graviton Extractor",7269461.39,98
48,"Ion Pulverizer",1179268.81,16
48,"Quantum Bore",9955650.24,83
48,"ReglAggregators",4512865.19,65
49,"FexStram Carrier",4398371.97,58
49,"Flux Rider",42755669.71,567
49,"Graviton Extractor",5593705,74
49,"Ion Pulverizer",2254214.49,25
49,"Quantum Bore",8903362.36,78
49,"ReglAggregators",4818109.97,66
50,"FexStram Carrier",4278530.86,58
50,"Flux Rider",43590786.72,549
50,"Graviton Extractor",6268563.76,87
50,"Ion Pulverizer",909026.42,11
50,"Quantum Bore",12906479.32,97
50,"ReglAggregators",4807244.12,63
51,"FexStram Carrier",4747323.89,65
51,"Flux Rider",40824909.68,526
51,"Graviton Extractor",5199625.01,74
51,"Ion Pulverizer",1164731.08,16
51,"Quantum Bore",12499191.64,98
51,"ReglAggregators",5016531.62,66
52,"FexStram Carrier",4564823.89,53
52,"Flux Rider",43452626.73,572
52,"Graviton Extractor",6489204.61,77
52,"Ion Pulverizer",954801.29,9
52,"Quantum Bore",12157238.45,102
52,"ReglAggregators",5565788.06,69
53,"FexStram Carrier",3650213.18,52
53,"Flux Rider",41622651.56,544
53,"Graviton Extractor",7877744.32,88
53,"Ion Pulverizer",1422111.64,18
53,"Quantum Bore",8796399.13,72
53,"ReglAggregators",5165761.48,69
54,"FexStram Carrier",4199254.25,60
54,"Flux Rider",40745840.48,542
54,"Graviton Extractor",6353329.13,85
54,"Ion Pulverizer",2159605.69,20
54,"Quantum Bore",12763062.88,80
54,"ReglAggregators",6176430.32,75
55,"FexStram Carrier",5157365.35,80
55,"Flux Rider",39782900.41,537
55,"Graviton Extractor",7311580.18,86
55,"Ion Pulverizer",1192953.27,22
55,"Quantum Bore",11075027.49,80
55,"ReglAggregators",4809285.96,69
56,"FexStram Carrier",4555269.32,63
56,"Flux Rider",46559862.79,600
56,"Graviton Extractor",5360883.17,71
56,"Ion Pulverizer",1725749.97,20
56,"Quantum Bore",15204519.52,82
56,"ReglAggregators",7329539.1,90
57,"FexStram Carrier",4120933.54,60
57,"Flux Rider",41782246.85,553
57,"Graviton Extractor",5970179.78,81
57,"Ion Pulverizer",1308698.62,16
57,"Quantum Bore",12158431.21,77
57,"ReglAggregators",4862515.11,64
58,"FexStram Carrier",4900077.44,59
58,"Flux Rider",41435934.04,555
58,"Graviton Extractor",5386223.58,65
58,"Ion Pulverizer",1873240.03,22
58,"Quantum Bore",11259520.08,82
58,"ReglAggregators",4825249.75,68
59,"FexStram Carrier",5311343.31,64
59,"Flux Rider",43501809.12,564
59,"Graviton Extractor",6490106.58,94
59,"Ion Pulverizer",1148787.35,14
59,"Quantum Bore",10878123.05,93
59,"ReglAggregators",6534756.19,85
60,"FexStram Carrier",5774405.87,75
60,"Flux Rider",44298440.95,577
60,"Graviton Extractor",7024309.38,89
60,"Ion Pulverizer",1588031.59,20
60,"Quantum Bore",11882409.14,77
60,"ReglAggregators",5650856.93,80
61,"FexStram Carrier",5548126,70
61,"Flux Rider",42796663.76,550
61,"Graviton Extractor",7507218.27,87
61,"Ion Pulverizer",1104180.8,15
61,"Quantum Bore",10221157.77,76
61,"ReglAggregators",6321548.47,83
62,"FexStram Carrier",4676236.7,60
62,"Flux Rider",46987049.15,617
62,"Graviton Extractor",6441163.11,77
62,"Ion Pulverizer",748312.23,15
62,"Quantum Bore",13428870.01,80
62,"ReglAggregators",4820140.31,63
63,"FexStram Carrier",4143664.18,57
63,"Flux Rider",44803507.55,600
63,"Graviton Extractor",6439138.43,87
63,"Ion Pulverizer",1368335.04,18
63,"Quantum Bore",13998492.03,88
63,"ReglAggregators",5144504.46,67
64,"FexStram Carrier",5005324.11,64
64,"Flux Rider",46914139.44,608
64,"Graviton Extractor",6600947.71,81
64,"Ion Pulverizer",1239490.87,17
64,"Quantum Bore",10031233.13,84
64,"ReglAggregators",6766863.02,87
65,"FexStram Carrier",4535696.72,59
65,"Flux Rider",45180480.52,601
65,"Graviton Extractor",7214316.1,85
65,"Ion Pulverizer",1384056.97,18
65,"Quantum Bore",9985303.72,78
65,"ReglAggregators",5740950.3,75
66,"FexStram Carrier",5096279.87,62
66,"Flux Rider",44112745.7,550
66,"Graviton Extractor",6656183.5,89
66,"Ion Pulverizer",932984.53,13
66,"Quantum Bore",11446059.64,89
66,"ReglAggregators",5836617.07,73
67,"FexStram Carrier",4334254.92,60
67,"Flux Rider",43666752.08,572
67,"Graviton Extractor",5753293.41,85
67,"Ion Pulverizer",1070246.96,16
67,"Quantum Bore",9252105.04,82
67,"ReglAggregators",6356718.77,82
68,"FexStram Carrier",3006110.36,46
68,"Flux Rider",43971855.8,579
68,"Graviton Extractor",6545433.82,85
68,"Ion Pulverizer",1222592.88,17
68,"Quantum Bore",9963862.07,86
68,"ReglAggregators",5256677.39,73
69,"FexStram Carrier",5091840.04,65
69,"Flux Rider",41635691.2,547
69,"Graviton Extractor",5919092.81,76
69,"Ion Pulverizer",1166235.88,15
69,"Quantum Bore",9543074.78,71
69,"ReglAggregators",5830858.22,82
70,"FexStram Carrier",3493342.56,52
70,"Flux Rider",41728449.44,550
70,"Graviton Extractor",5239885.31,68
70,"Ion Pulverizer",536907.35,8
70,"Quantum Bore",13383432.65,78
70,"ReglAggregators",4764404.79,67
71,"FexStram Carrier",5786525.94,76
71,"Flux Rider",44393696.71,562
71,"Graviton Extractor",5540271.38,73
71,"Ion Pulverizer",1219820.41,17
71,"Quantum Bore",8028577.79,67
71,"ReglAggregators",5634401.38,74
72,"FexStram Carrier",5776674.36,70
72,"Flux Rider",43743897.01,568
72,"Graviton Extractor",5768423.97,83
72,"Ion Pulverizer",1273149.11,17
72,"Quantum Bore",10380582.78,73
72,"ReglAggregators",6322216.46,75
73,"FexStram Carrier",4796879.13,56
73,"Flux Rider",47029671.54,616
73,"Graviton Extractor",7405496.29,97
73,"Ion Pulverizer",1189435.62,17
73,"Quantum Bore",10094326.56,81
73,"ReglAggregators",4974066.73,62
74,"FexStram Carrier",4623426.26,59
74,"Flux Rider",43418378.43,570
74,"Graviton Extractor",6018823.34,74
74,"Ion Pulverizer",1701195.38,17
74,"Quantum Bore",9163404.25,76
74,"ReglAggregators",5189506.36,69
75,"FexStram Carrier",4994747.72,66
75,"Flux Rider",42598729.42,563
75,"Graviton Extractor",6788091.87,89
75,"Ion Pulverizer",838694.65,13
75,"Quantum Bore",11079129.11,92
75,"ReglAggregators",4908493.34,66
76,"FexStram Carrier",4136033.73,66
76,"Flux Rider",45540227.4,570
76,"Graviton Extractor",6769160.82,85
76,"Ion Pulverizer",1861234.03,24
76,"Quantum Bore",11757293.86,96
76,"ReglAggregators",6018014.65,76
77,"FexStram Carrier",6057913.91,70
77,"Flux Rider",41550839.39,551
77,"Graviton Extractor",4505445,67
77,"Ion Pulverizer",964389.36,12
77,"Quantum Bore",11855721.02,82
77,"ReglAggregators",6183913.87,77
78,"FexStram Carrier",5340466.52,64
78,"Flux Rider",43912592.82,589
78,"Graviton Extractor",6928281.07,87
78,"Ion Pulverizer",1135032.84,17
78,"Quantum Bore",11460623.48,91
78,"ReglAggregators",3841654.8,54
79,"FexStram Carrier",4405742.62,56
79,"Flux Rider",42890559.8,568
79,"Graviton Extractor",5588929.43,78
79,"Ion Pulverizer",1122006.31,15
79,"Quantum Bore",9638468.74,76
79,"ReglAggregators",6141114.72,71
80,"FexStram Carrier",5489200.43,67
80,"Flux Rider",42981047.36,561
80,"Graviton Extractor",5530309.57,71
80,"Ion Pulverizer",549241.89,10
80,"Quantum Bore",9630188.11,78
80,"ReglAggregators",5988673.58,79
81,"FexStram Carrier",5165473.32,66
81,"Flux Rider",48856961.42,626
81,"Graviton Extractor",6680701.75,90
81,"Ion Pulverizer",1547171.87,19
81,"Quantum Bore",10813242.37,89
81,"ReglAggregators",5139449.15,75
82,"FexStram Carrier",4258484.02,60
82,"Flux Rider",45814953.74,590
82,"Graviton Extractor",5829439.1,70
82,"Ion Pulverizer",1721456.1,16
82,"Quantum Bore",11241090.77,83
82,"ReglAggregators",6002656.26,87
83,"FexStram Carrier",3802382.03,49
83,"Flux Rider",39961095.29,532
83,"Graviton Extractor",4889939.9,67
83,"Ion Pulverizer",1424194.66,20
83,"Quantum Bore",12880711.44,93
83,"ReglAggregators",5935578.3,78
84,"FexStram Carrier",5089052.54,71
84,"Flux Rider",44597612.18,585
84,"Graviton Extractor",5459592.21,70
84,"Ion Pulverizer",1276945.17,16
84,"Quantum Bore",10760007.33,80
84,"ReglAggregators",6339093.53,80
85,"FexStram Carrier",4982972.31,63
85,"Flux Rider",45110628.66,601
85,"Graviton Extractor",7906338.78,96
85,"Ion Pulverizer",1365205.49,16
85,"Quantum Bore",11466359.2,91
85,"ReglAggregators",4945598.54,60
86,"FexStram Carrier",4936515.78,62
86,"Flux Rider",44166699.69,591
86,"Graviton Extractor",5854877.85,81
86,"Ion Pulverizer",1266818.51,18
86,"Quantum Bore",12014532.78,77
86,"ReglAggregators",8223165.58,98
87,"FexStram Carrier",2964705.01,42
87,"Flux Rider",44832566.59,581
87,"Graviton Extractor",7183773.54,82
87,"Ion Pulverizer",1497155.28,15
87,"Quantum Bore",9331921.26,76
87,"ReglAggregators",4365579.14,56
88,"FexStram Carrier",4302421.3,55
88,"Flux Rider",42863294.26,550
88,"Graviton Extractor",6216178.29,83
88,"Ion Pulverizer",1818384.76,22
88,"Quantum Bore",15495830.26,89
88,"ReglAggregators",5555435.22,75
89,"FexStram Carrier",3839328.46,55
89,"Flux Rider",40216566.15,546
89,"Graviton Extractor",7036941.88,94
89,"Ion Pulverizer",1518484.29,22
89,"Quantum Bore",13326133.97,106
89,"ReglAggregators",5535940.76,71
90,"FexStram Carrier",4035434.73,53
90,"Flux Rider",46653863.18,611
90,"Graviton Extractor",6078010.28,82
90,"Ion Pulverizer",751032.97,10
90,"Quantum Bore",7681259,63
90,"ReglAggregators",5761529.11,70
91,"FexStram Carrier",3742656.35,54
91,"Flux Rider",41458751.65,535
91,"Graviton Extractor",5893728.84,73
91,"Ion Pulverizer",1977389.02,25
91,"Quantum Bore",8878083.99,72
91,"ReglAggregators",5811422.28,67
92,"FexStram Carrier",3249501.58,44
92,"Flux Rider",43566089.29,572
92,"Graviton Extractor",5212500.17,76
92,"Ion Pulverizer",1811952.37,22
92,"Quantum Bore",8930757.97,71
92,"ReglAggregators",6001760.54,84
93,"FexStram Carrier",5008773.06,68
93,"Flux Rider",44822136.06,576
93,"Graviton Extractor",4975599.67,61
93,"Ion Pulverizer",1287993.09,14
93,"Quantum Bore",12706040.4,97
93,"ReglAggregators",6101163.39,78
94,"FexStram Carrier",6133982.57,78
94,"Flux Rider",43195809.55,579
94,"Graviton Extractor",7055736.49,86
94,"Ion Pulverizer",1327376.24,17
94,"Quantum Bore",10263555.2,71
94,"ReglAggregators",5418622.16,74
95,"FexStram Carrier",4012651.2,50
95,"Flux Rider",42188202.28,571
95,"Graviton Extractor",4708594.5,61
95,"Ion Pulverizer",1100665.87,16
95,"Quantum Bore",10483363.21,84
95,"ReglAggregators",5846335.85,69
96,"FexStram Carrier",5183113.12,66
96,"Flux Rider",45630823.86,575
96,"Graviton Extractor",6316996.54,86
96,"Ion Pulverizer",1006228.78,17
96,"Quantum Bore",11576178.34,85
96,"ReglAggregators",6526077.76,90
97,"FexStram Carrier",5234253.9,76
97,"Flux Rider",42030665.76,554
97,"Graviton Extractor",6134233.07,75
97,"Ion Pulverizer",1237660.68,13
97,"Quantum Bore",10131011.17,85
97,"ReglAggregators",5533254.67,74
98,"FexStram Carrier",5261685.85,67
98,"Flux Rider",47722876.33,620
98,"Graviton Extractor",5502330.97,72
98,"Ion Pulverizer",1330630.84,19
98,"Quantum Bore",13113484.49,90
98,"ReglAggregators",6801229.65,78
99,"FexStram Carrier",5194857.68,64
99,"Flux Rider",45949972.19,584
99,"Graviton Extractor",6884162.64,90
99,"Ion Pulverizer",1183967.82,19
99,"Quantum Bore",8848056.87,74
99,"ReglAggregators",7049329.36,85
100,"FexStram Carrier",3125668.35,45
100,"Flux Rider",44491757.17,587
100,"Graviton Extractor",6572387.5,86
100,"Ion Pulverizer",1363394.53,17
100,"Quantum Bore",13446582.06,76
100,"ReglAggregators",6200472.59,73
101,"FexStram Carrier",5179374.74,58
101,"Flux Rider",42302903.39,564
101,"Graviton Extractor",6384461.96,81
101,"Ion Pulverizer",1002243.25,13
101,"Quantum Bore",9243595.98,73
101,"ReglAggregators",5238834.99,62
102,"FexStram Carrier",6113026.85,69
102,"Flux Rider",45648129.2,591
102,"Graviton Extractor",6061979.01,81
102,"Ion Pulverizer",1506298.28,19
102,"Quantum Bore",12504956.38,89
102,"ReglAggregators",5204118.25,71
103,"FexStram Carrier",4850364.76,61
103,"Flux Rider",41541679.47,560
103,"Graviton Extractor",6572183.03,85
103,"Ion Pulverizer",1436722.27,17
103,"Quantum Bore",12970565.95,101
103,"ReglAggregators",7194092.68,91
104,"FexStram Carrier",4910854.34,63
104,"Flux Rider",45710149.6,589
104,"Graviton Extractor",6038818.39,83
104,"Ion Pulverizer",1434314.08,19
104,"Quantum Bore",9804757.21,81
104,"ReglAggregators",6546039.26,91
105,"FexStram Carrier",3466456.09,49
105,"Flux Rider",45955308.47,577
105,"Graviton Extractor",5735710.67,76
105,"Ion Pulverizer",1319025.11,17
105,"Quantum Bore",9667795.97,74
105,"ReglAggregators",4341151.31,56
106,"FexStram Carrier",4252336.28,64
106,"Flux Rider",43272016.67,557
106,"Graviton Extractor",6821741.41,82
106,"Ion Pulverizer",1469628.93,19
106,"Quantum Bore",6940980.8,66
106,"ReglAggregators",5833829.52,83
107,"FexStram Carrier",3122850.17,48
107,"Flux Rider",41633800.81,543
107,"Graviton Extractor",5885381.6,76
107,"Ion Pulverizer",1240205.87,13
107,"Quantum Bore",9367357.6,77
107,"ReglAggregators",5463608.84,76
108,"FexStram Carrier",4987558.17,63
108,"Flux Rider",46408484.84,592
108,"Graviton Extractor",6513938.21,80
108,"Ion Pulverizer",1297077.55,17
108,"Quantum Bore",10133342.2,89
108,"ReglAggregators",6091801.86,69
109,"FexStram Carrier",4044029.45,59
109,"Flux Rider",43643549.3,548
109,"Graviton Extractor",5916053.74,85
109,"Ion Pulverizer",1756485.47,21
109,"Quantum Bore",9132479.09,73
109,"ReglAggregators",5297737.79,68
110,"FexStram Carrier",3870505.38,60
110,"Flux Rider",45394312.1,575
110,"Graviton Extractor",6945623.47,92
110,"Ion Pulverizer",1049127.75,15
110,"Quantum Bore",9251221.84,72
110,"ReglAggregators",5773790.05,77
111,"FexStram Carrier",4547591.87,58
111,"Flux Rider",44607139.02,587
111,"Graviton Extractor",5784878.59,80
111,"Ion Pulverizer",1060812.19,16
111,"Quantum Bore",15683430.76,88
111,"ReglAggregators",4890237.18,70
112,"FexStram Carrier",4746033.55,67
112,"Flux Rider",43114137.32,566
112,"Graviton Extractor",5748584.03,74
112,"Ion Pulverizer",716034.99,11
112,"Quantum Bore",12181557.92,88
112,"ReglAggregators",6129139.76,76
113,"FexStram Carrier",4362864.42,57
113,"Flux Rider",47311355.11,593
113,"Graviton Extractor",6934637.65,86
113,"Ion Pulverizer",1051662.55,12
113,"Quantum Bore",8508322.04,74
113,"ReglAggregators",5209794.74,62
114,"FexStram Carrier",3823293.99,50
114,"Flux Rider",41623786.01,556
114,"Graviton Extractor",5590954.63,71
114,"Ion Pulverizer",2719220.61,29
114,"Quantum Bore",8409558.23,71
114,"ReglAggregators",7543854.22,93
115,"FexStram Carrier",3878740.65,48
115,"Flux Rider",45025600.65,583
115,"Graviton Extractor",5717756.55,85
115,"Ion Pulverizer",1728595.84,22
115,"Quantum Bore",9361610.69,70
115,"ReglAggregators",5045216.61,63
116,"FexStram Carrier",4273365.68,61
116,"Flux Rider",41614667.35,535
116,"Graviton Extractor",4889540.38,69
116,"Ion Pulverizer",1251581.22,15
116,"Quantum Bore",8785927.08,76
116,"ReglAggregators",6505835.72,80
117,"FexStram Carrier",6083957.98,67
117,"Flux Rider",42372127.72,550
117,"Graviton Extractor",5758685.65,77
117,"Ion Pulverizer",1372934.28,18
117,"Quantum Bore",9791349.64,74
117,"ReglAggregators",4387393.13,67
118,"FexStram Carrier",4454018.45,54
118,"Flux Rider",42158068.66,563
118,"Graviton Extractor",6820769.16,81
118,"Ion Pulverizer",1675246.93,18
118,"Quantum Bore",12233529.31,97
118,"ReglAggregators",3853030.07,57
119,"FexStram Carrier",4118978.28,55
119,"Flux Rider",40974336.06,549
119,"Graviton Extractor",4827811.77,70
119,"Ion Pulverizer",1978599.31,23
119,"Quantum Bore",9224439.44,76
119,"ReglAggregators",3649912.19,53
120,"FexStram Carrier",3750796.07,54
120,"Flux Rider",45412072.98,571
120,"Graviton Extractor",6487124.27,83
