"sim","Bayesia System","Helionis Cluster","Oryn Delta"
402,442495.29,768990.07,193049.47
403,265296.63,843000.8,229572.2
404,383121.35,716061.56,146085.64
405,338778.94,862383.17,268589.13
406,376169.06,703138.02,290938.55
407,287540.28,772377.35,268297.15
408,366471.42,813585.16,380823.69
409,496831.2,708450.41,272251.81
410,394717.73,765964.21,186834.99
411,362985.41,801715.62,209369.17
412,354738.83,779915.9,174420.7
413,304386.71,639448.69,177511.62
414,355867.21,887730.05,215862.72
415,363775.3,736887.6,165124.52
416,323340,707618.42,200764.29
417,487612.07,838825.12,236084.07
418,440609.07,666047.97,141584.01
419,538286.28,1004970.68,160334.6
420,354093.83,828114.57,217673.85
421,314063.73,691297.37,247845.56
422,351684.87,972985.39,241908.93
423,601133.41,861583.96,205115.45
424,465064.42,908068.97,169183.77
425,357941.46,841759.71,228840.63
426,334688.36,819551.06,317488.63
427,432932.94,951877.04,357496.85
428,273059.88,769366.38,301239.82
429,336368.59,728070.51,178081.25
430,356542.08,760888.76,349721.16
431,279043.7,739840.21,184624.36
432,364798.63,705270.31,207561.96
433,379863.43,842635.69,166372.61
434,337571.17,660513.86,213244.34
435,481468.7,845382.8,200757.64
436,356927.36,792656.95,225763.67
437,270658.33,929501.51,275115.41
438,294768.32,685020.73,251009.98
439,366318.35,839464.85,184774.2
440,353435.17,870634.35,245310.74
441,439059.33,611226.25,229202.57
442,474633.3,675742.62,251134.36
443,470517.62,773004.47,270476.29
444,306993.46,680136.96,252011.78
445,348850.02,820774.94,283587.07
446,389219.97,750678.29,249703.85
447,364310.23,878792.36,159453.24
448,258019.19,817383.08,291811.63
449,360880.82,666902.43,191368.49
450,304351.98,747562.5,194715.94
451,361976.7,766784.18,210031.27
452,522243.57,791411.63,264501.42
453,407948.32,715456.98,247474.89
454,330141.89,734328.81,387551.67
455,353198.66,947807.07,276966.71
456,335940.53,926384.17,167399.36
457,452990.38,675089.57,270028.91
458,310737.69,721391.67,286793.11
459,358711.79,783091.37,221931.15
460,408610.92,813290.96,297425.07
461,282507.27,784805.07,191225.81
462,353246.85,823409.81,216841.73
463,408232.94,768961.62,205512.57
464,476059.23,687525.74,223116.79
465,369764.22,872446.02,310972.75
466,295817.12,671517.7,228410.62
467,361897.47,1011736.16,252661.38
468,296925.84,703921.53,243517.96
469,316366.88,625555.41,161592.1
470,312490.53,899404.07,233967.22
471,398820.93,892204.95,184539.9
472,412048.47,794307.14,195221.44
473,286487.8,906490.13,157242.78
474,357186.91,792568.74,195202.56
475,367567.92,736942.76,179342.85
476,413539.1,797970.1,219562.47
477,315064.99,731529.67,180981.79
478,409065.19,722198.12,182855.89
479,340275.46,812610.27,214209.89
480,276958.29,888300.41,164803.23
481,283454.9,726916.55,210102.9
482,339256.48,798894.66,222896.91
483,379892.18,843370.12,193801.15
484,305786.17,965821.76,249486.77
485,495316.48,795828.29,214386.57
486,357297.72,927583.67,219705.55
487,297789.09,862808.81,229810.93
488,291533.89,863034.47,193455.37
489,465017.66,963686.63,242980.46
490,367683.11,752454.03,248346.46
491,242119.46,861332.2,211140.85
492,518960.04,823336.85,240076.61
493,278202.26,829789.02,211966.11
494,372741.11,644596.58,221613.37
495,358867.02,869412.97,260148.45
496,374228.98,999899.87,193808.85
497,418709.56,643010.08,226897.83
498,318241.63,855008.39,150959.81
499,440733.52,796087.09,325809.19
500,495111.05,762407.18,238976.62
501,381710.48,848570.92,265078.64
502,364397.86,651331.8,181713.1
503,352102.85,877769.89,199841.31
504,335760.79,988229,257737.43
505,510471.27,801983.25,265008.49
506,431430.69,705198.74,159822.01
507,436923.99,759235.48,249840.37
508,300872.51,998734.55,248733.18
509,274222.21,768316.89,293373.11
510,310513.55,817505.42,151963.3
511,322530.25,867587.93,309248.72
512,413399.82,727506.71,141825.74
513,296441.39,778882.64,175870.96
514,384441.73,747954.29,334852.08
515,381396.01,766304.24,170054.38
516,375753.19,663585.48,262185.5
517,339647.64,611639,153736.81
518,369875.22,843783.09,215486.38
519,442672.24,685284.92,231276.53
520,363070.37,767857.44,155392.08
521,306243.86,682601.16,224779.18
522,390173.46,742725.43,234323.63
523,335889.31,849796.49,218605.16
524,397467.71,708317.12,248148.54
525,387847.26,655121.9,289394.59
526,364748.94,741681.88,234464.98
527,463851.32,969706.17,190380.06
528,326365.36,924300.91,310109.04
529,313484.32,831324.37,263729.89
530,329393.36,885145.65,272809.04
531,479428.96,964867.99,221375.26
532,385613.46,698928.92,231864.03
533,379664.71,799061.66,188309.64
534,582043.98,931918.15,299182.99
535,383896.96,1072737.38,246454.72
536,302033.62,844341.84,344102.54
537,430776.22,714438.81,211729.01
538,375209.36,873277.43,248023.4
539,391142.6,788408.14,184073.7
540,331545.59,767754.55,253418.18
541,352112.5,810701.29,227022.44
542,383622.97,813101.16,226018.53
543,513196.04,804651.03,198647.47
544,295507.43,704214.01,355621.58
545,348938.29,653743.51,311183.01
546,347555.41,774519.36,300855.36
547,376292.56,810510.54,261258.76
548,385553.52,699393.01,151329.04
549,396403.96,758630.06,290207.88
550,452436.57,805839.29,210784.42
551,398922.94,646126.1,170727.61
552,415773.17,750167.4,239187.32
553,326211.6,738698.82,265809.1
554,285149.41,703600.14,182325.22
555,311107.8,729812.5,343742.71
556,329690.49,840305.38,213755.22
557,334032.38,672077.69,215917.35
558,442644.21,835398.7,232533.33
559,309706.08,803413.72,292443.98
560,357050.66,866456.34,314013.61
561,536628.35,840746.55,211699.23
562,355256.62,797547.92,182339.55
563,459061.62,806003.82,259913.93
564,297282.7,646076.13,210381.25
565,380773.3,780305.03,199047.74
566,334561.95,781278.84,223408.17
567,278779.75,688175.19,187279.21
568,459778.35,886628.05,184372.71
569,427275.84,726435.8,199558.15
570,386503.4,865938.59,279972.12
571,470827.87,708874.09,292766.87
572,391792.66,754080.92,278061.89
573,351221.85,792805.52,282852.43
574,352911.94,834795.49,205046.41
575,319034.85,827311.67,190868.44
576,523142.87,751415.21,178084.26
577,329704.75,756010.92,324289.35
578,292242.91,838936.83,239049.09
579,400831.57,733952.88,153009.41
580,439320.86,884402.44,199105.93
581,442294.42,1006627.72,199363.91
582,335655.97,983492.75,200604.54
583,361087.02,779413.9,308582.85
584,358289.08,818923.6,143637.47
585,436181.98,657743.79,249195.1
586,325950.44,840027.87,227706.75
587,421141.03,816681.1,237297.91
588,392452.51,836556.92,288713.9
589,366136.02,741410.83,177892.16
590,309850.8,802742.76,178489.81
591,356904.56,919810.55,254040.48
592,340856.7,684740.36,245818.11
593,327711.06,813780.18,240197.24
594,336647.63,807482.74,337806.22
595,426493.4,880250.77,190403.8
596,509938.67,767265.21,146718.22
597,474577.31,651029.76,306113.1
598,347084.73,763554.08,182869.81
599,441931.48,674620.25,210045.17
600,412277.08,720453.95,240435.54
601,304997.85,623351.16,246648.42
602,357521.34,811213.4,210250.49
603,326554.1,789864.73,199054.44
604,286150.94,659201.28,171341.92
605,443933.23,718894.59,223633.91
606,437106.34,892277.01,221860.16
607,425722.52,925511.5,236743.95
608,385676.59,745719.31,363816.67
609,344557.03,925045.6,281952.7
610,396595.76,754055.62,239436.41
611,385896.85,794669.21,189149.16
612,518000.24,911501.29,273830.81
613,401460.99,774818.49,230936.55
614,443901.84,834109.48,155609.64
615,320384.17,786894.27,199847.91
616,549684.59,831985.48,214133.85
617,409884.89,630994.27,157304.56
618,387972.8,885228.45,229997.87
619,359250.35,683929.95,322520.69
620,394188.83,763524.7,208561.21
621,308241.1,841868.97,306363.14
622,310715.52,687888.27,259709.92
623,448322.7,602289.8,216126.76
624,256159.68,766912.15,179298.03
625,401100.27,599687.69,232934.15
626,385217.77,753604.98,211667.14
627,378910.59,767467.55,198208.3
628,308819.93,899823.41,170050.56
629,348132.67,707792.69,264102.31
630,447146.1,655385.51,233161.38
631,511336.76,733121.54,163614.07
632,430864.79,765399.49,231418.24
633,336751.62,799773.39,189304.42
634,348050.54,810094.88,219358.94
635,282924.59,817405.35,191236.06
636,370921.8,946492.19,203065.15
637,319733.24,883632.62,208714.59
638,427251.24,781398.8,228243.08
639,358943.67,858996.93,329480.35
640,354839.33,724635.16,233121.98
641,349111.98,738331.26,275129.9
642,294312.37,782835.14,310915.73
643,285520.52,1008738.97,281939.43
644,285499.11,759912.73,230293.91
645,398914.78,711749.73,209025.58
646,375073.43,858738.88,266811.52
647,384209.42,896397.54,180484.11
648,493780.41,781695.36,212038.23
649,480196.67,734763.33,174699.45
650,351636.66,739194.78,189266.56
651,436340.45,951112.19,267841.44
652,383498.09,723534.55,182398.82
653,293466.34,845588.38,152656
654,355083.36,700100.01,248166.21
655,281675.01,771165.75,170503.24
656,311215.86,745692.38,261629.42
657,515925.75,674367.14,161243.98
658,532528.45,628124.86,329378.98
659,397302.85,706184.69,164618.96
660,322070.36,722645.14,168973.27
661,360926.73,840033.12,195681.82
662,379515.31,894584.78,266269.12
663,374225.61,727798.35,227326.27
664,299280,794460.4,273244.18
665,294407.37,730051.01,169264.7
666,304066.87,838839.17,216975.62
667,447698.45,655257.76,237588.94
668,446775.75,872322.1,244246.98
669,384893.11,896173.3,174805.4
670,406287.08,827951.72,373494.69
671,332604.32,846671.53,173262
672,414482.81,942086.9,221401.42
673,304590.49,707072.38,240750.37
674,353097.17,744107.25,173377.35
675,326832.4,882811.58,204724.8
676,356692.81,793137.14,316825.39
677,325718.01,813219.94,197738.05
678,497943.83,809375.2,241262.03
679,403805.4,976090.13,202160.94
680,370549.59,795427.15,206717.42
681,443296.18,698594.69,316327.92
682,378030.18,1007119.42,170509.42
683,371937.95,782994.97,260887.51
684,477341.22,904198.25,130082.49
685,387473.22,842790.11,184043.36
686,453110.29,728974.55,339218.67
687,340840.91,924858.17,277445.57
688,312103.79,807983.23,175877.77
689,384739.41,853409.07,283299.39
690,296239.19,755127.17,264284.67
691,472073.49,677012.98,235754.92
692,431903.91,684436.37,206344.1
693,349000.57,650975.29,209566.18
694,360284.14,732271.89,286522.68
695,369324.23,642242.56,176904.79
696,328188.77,668925.2,359764.44
697,372815.68,832412.78,155374.61
698,423263.57,666289.05,291750.43
699,342196.16,746536.04,297748.57
700,308558.59,817614.71,228831.67
701,475967.6,892379.58,270357.34
702,354006.53,835349.7,340189.31
703,459642.4,721753.45,144652.74
704,333029.9,680300.41,318635.5
705,335165.25,762687.92,205750.53
706,323352.68,930857.19,193891.65
707,411493.02,710564.2,176107.3
708,280593.51,754523.54,217595.76
709,298043.62,1036602.59,282081.58
710,437047.27,691944.94,279708.65
711,277662.13,851937.48,223406.1
712,332847.02,676227.77,177655.75
713,338014.56,861146.15,200199.85
714,407982.91,783205.82,239964.4
715,339279.55,668840.23,151848.87
716,378840.43,664431.18,516241.2
717,320976.37,732859.18,304529.76
718,336673.85,661241.55,181916.01
719,424893.65,688142.43,393654.97
720,336991.62,769142.34,257951.35
721,424789.87,764785.63,277738.12
722,294137.69,628778.69,219895.34
723,541305.79,848820.23,286885.7
724,484221.85,648270.96,172665.01
725,375643.95,760425.71,452202.36
726,332132.36,745454.55,256762.19
727,336202.97,686708.23,279205.8
728,405587.58,608014.1,355436.99
729,478641.5,881445.69,261325.76
730,485508.78,666990.61,202352.12
731,355880.05,877484.26,188289.45
732,417164.26,850013.58,148633.27
733,369284.05,697907.18,251947.69
734,582605.6,676870.87,240915.33
735,547208.32,975867.36,236749.8
736,428438.22,652293.83,211492.26
737,526022.99,904267.64,261328.42
738,375460.57,740999.49,199737.43
739,427420.2,838187.05,258651.99
740,328634.98,980982.74,213642.35
741,325768.5,816467.34,386477.15
742,418199.43,846483.29,207584
743,306663.64,717036.5,304009.89
744,299957.15,732669.83,159381.52
745,330904.61,995599.29,209951.95
746,424695.47,941994.31,145134.56
747,342914.07,770901.3,215322.74
748,412951.98,789553.33,247886.74
749,519411.07,716616.31,181010.76
750,350317.88,610449.99,193859.99
751,404687.57,915884.93,186333.3
752,324368.36,707225.73,222912.19
753,429042.07,727835.71,206416.75
754,384379.06,804225.71,196370.52
755,535783.76,720117.46,239121.2
756,481233.6,808753.51,242180.85
757,366478.42,742521.53,261470.11
758,462456.24,708897.05,170970.69
759,365905.61,1004312.79,180685.14
760,301860.95,980049.72,173666.89
761,285176.48,739982.58,312247.49
762,385162.03,795092.77,211443.73
763,373903.94,675924.32,204575.96
764,424456.6,712733.59,235952.85
765,286852.94,832394.19,215846.62
766,394847.13,841352.1,288370.56
767,387943.69,667285.57,243869.91
768,409631.16,640366.98,416233.03
769,326412.63,610722.91,239624.96
770,313711.61,694887.51,184707.34
771,480983.6,888703.68,229328.34
772,315048.97,679244.11,223032.83
773,371367.9,833479.12,274661.06
774,343206.26,786544.06,211442.06
775,323572.3,839088.26,307756.04
776,428725.93,753844.38,357702
777,353919.67,726065.51,246126.79
778,281989,780509.66,291741.08
779,342400.05,744395.86,191191.53
780,395169.51,940078.61,294499.72
781,334858.58,970773.8,235161.26
782,302317.48,790490.95,218803.86
783,364549.74,841945.21,218739.71
784,340384.54,818981.75,308461.72
785,327551.53,802137.64,264806.05
786,370791.73,719045.17,243718.61
787,425619.2,813154.68,231712.26
788,337342.89,850672.81,150832.58
789,327683.16,618640.53,203378.61
790,271858.95,729601.1,235845.63
791,293934.98,747234.86,225534.8
792,309573.11,944390.36,200031.21
793,320952.01,786887.4,313011.44
794,275812.67,627140.65,245657.84
795,321803.86,809487.06,163585.8
796,482717.06,749148.78,264054.39
797,419987.83,762632.58,285745.36
798,310047.8,717791.88,209002.59
799,311769.29,973569.42,151893.95
800,504627.62,788260.61,297519.79
801,294558.52,691489.25,204411.45
802,320890.25,855001.53,234538.78
803,559833.45,636977.67,260813.9
804,285997.95,855544.22,169874.05
805,378848.38,990865.06,191817.94
806,431163.39,725857.53,127261.41
807,324154.99,804605.88,193376.31
808,391435.78,607345.56,174100.08
809,414777.96,663352.51,273200.2
810,316744.85,795997.89,325278.04
811,417930.68,817222.64,170274.21
812,392339.77,667449.05,336853.58
813,307625.56,704417.26,203161.39
814,336488.02,824476.58,224778.52
815,393887.85,797847.18,221403.63
816,454982.11,931231.06,268497.65
817,531922.38,727377.85,278241.3
818,334289.38,645542.01,344207.23
819,336954.81,616067.36,228717.87
820,391284.1,838277.18,247056.92
821,429260.04,981603.36,204566.2
