"sim","Field Operations","Heavy Operations","Office/Admin","Technical"
216,437024.38,489104.91,34186,470980.71
217,417561.7,453322.24,18110.97,440233.17
218,411726.5,412998.9,200099.28,380176.24
219,426988.81,366558.16,18779.7,547783.54
220,358406.96,418835.24,20082.16,443727.91
221,422338.52,457003,31695.76,472846.01
222,552987.35,415969.87,26536.42,403562.23
223,406153.57,425674.79,49352.55,398280.55
224,396150.2,346417.73,32670.48,377808.54
225,405352.36,465557.05,38571.84,413374.06
226,421460.26,519976.52,63347.27,402729.5
227,582432.16,457883.54,38379.02,405151.17
228,369790.74,554279.26,34835.3,459533.79
229,404080.78,543319.19,29338.56,519327.4
230,546574.33,456963.47,60981.55,526163.28
231,363380.92,490792.46,20529.67,403533.57
232,464839.15,348455.09,74120.24,509630.48
233,446459.34,584178,71094.15,472015.4
234,461503.6,404873.22,106279.5,557047.09
235,386922.41,505541.92,44382.67,414957.08
236,571235.05,506502.58,54154.87,520577.14
237,415455.82,376509.41,30105.24,376921.29
238,360494.67,365862.92,43923.93,426302.59
239,500252.48,423377.02,35613.07,487178.31
240,416259.01,523819.76,91938.35,464515.8
241,478102.69,291148.45,52240.38,467193.74
242,470750.84,448579.8,27803.69,595707.47
243,461130.95,391850.29,35312.15,297997.04
244,411475.48,530432.85,40800.05,386611.07
245,407851.71,484565.2,54106.95,459635.06
246,461433.79,443198.19,68069.17,414063.53
247,345150.36,468065.1,62829.16,623524.09
248,519415.34,422724.8,72913.37,620343.4
249,406171.41,456397.67,18620.96,474937.14
250,440409.12,380152.55,58689.49,384880.46
251,476883.41,373960.89,49842.27,438437.29
252,366233.26,604186.62,41970.25,388823.76
253,396932.53,391472.99,32296.76,431113.52
254,529662.85,455486.03,58714.88,473195.16
255,340360.32,602203.18,140010.56,443415.19
256,635396.53,566501.4,34541.63,444857.9
257,475568.09,497655.51,29957.56,605504.06
258,594617.35,451753.09,23959.65,530316.71
259,515515.21,417590.38,41931.3,446826.29
260,425248.03,458950.99,52258.51,436617.45
261,356261.1,463895.53,31934.42,527492.77
262,343072.48,568419.49,45251.22,436413.88
263,394055.29,419980.83,143790.99,359794.28
264,454315.37,518239.09,161435.68,411194.96
265,409083.42,479573.36,21085.09,435535.74
266,427085.09,364912.3,52525.74,437314.2
267,432955.59,446065.77,20712.29,418093.05
268,363430.1,424440.24,14075.8,374296.03
269,474035.72,507888.49,42121.57,740027.8
270,415117.6,708783.12,75639.56,382412.18
271,609956.06,467392.35,37423.77,331413.35
272,382549.28,396032.34,46247.77,314921.8
273,438713.26,375668,28097.7,437952.19
274,448076.16,439516.29,109595.39,673588.33
275,531043.27,392989.35,74065.4,310871.9
276,502256.12,435049.61,39388.74,381633.1
277,345077,416848.08,33167.85,395826.24
278,508602.48,452943.93,35920.83,438582.27
279,408026.61,456744.3,15737.1,438809.07
280,329332.06,413417.08,26670.06,400828.83
281,447599.19,420176.7,47956.84,372481.01
282,411928.77,660860.16,56909.25,394598.73
283,407105.48,495445.51,27008.07,498152.85
284,416176.59,437060.58,63904.04,447569.86
285,420359.98,423293.87,31845.33,409528.72
286,380567.43,391127.34,56556.41,395834.44
287,514525.99,395614.45,34020.49,315922.6
288,477030.26,412780.3,39245.43,346457.97
289,330660.14,427279.7,22282.79,432931.8
290,378955.73,632645.55,90436.77,503299.85
291,362473.99,544403.99,17430,498276.16
292,446199.36,486600.48,23714.52,400044.25
293,301366.14,699511.82,31457.61,451492.17
294,398474.78,390717.22,26849.75,437228.01
295,382898.48,393663.75,46392.64,627908.25
296,408645.66,460224.21,50726.48,337809.71
297,382899.02,339014,59899.19,484759.74
298,467572.65,404378.71,31680.31,403266.01
299,407350.02,518032.66,41628.26,416551.74
300,453235.38,400785.41,29300.35,411138.72
301,450053.1,346012.9,24903.68,366118.52
302,372241.46,377907.27,51516.33,376385.96
303,510519.54,572806.19,21814.98,489710.36
304,574226.3,361094.35,43148.79,439221.24
305,361277.66,392974.87,60037.27,392668.12
306,395985.1,444302.9,41419.46,420950.98
307,366902.93,429336.78,122328.57,373542.1
308,346270.39,433107.03,31256.91,468402.71
309,382165.1,427928.98,44627.95,301706.3
310,520108.78,498231.53,36049.17,458206.24
311,421424.2,483056.91,98082.99,646962.14
312,341542.02,418653.8,56057.15,420536.39
313,385742.75,406061.81,33369.53,408368.62
314,368707.32,461529.58,40399.54,434271.13
315,550966.29,417599.69,34210.28,392311.94
316,420064.28,462014.18,34623.55,404654.31
317,450062.44,506171.31,26944.84,478952.47
318,475103.09,448559.18,71389.29,485861.46
319,470619,451298.94,67027.86,555222.73
320,412754.15,529110.7,63505.29,441386.65
321,456879.98,456124.74,22362,806890.66
322,475721.03,468841.77,90253.89,460774.97
323,357988.77,398197.61,58910.38,365637.48
324,439200.2,361811.47,49989.47,680552.5
325,398030.38,444480.19,28072.44,439417.8
326,478073.84,576406.84,55869.28,358453.66
327,462271,338302.98,40279.3,434434.87
328,432402.32,409811.65,90205.07,574735.51
329,433411.24,519206.71,33429.61,546210.2
330,508915.77,539409.95,59139.07,642520.27
331,453561.37,377918.14,72947.4,555657.87
332,385923.34,469676.33,114931.31,544928
333,358708.89,624935.97,49457.8,350433.11
334,567083.46,441064.18,30568.42,512350.09
335,465889.07,458068.75,45282.49,369113.09
336,372483.25,460595.93,99383.46,475099.67
337,455340.71,532920.57,16208.87,385500.72
338,538157.21,543983.73,47212.14,364488.39
339,536299.35,493534,107838.82,398829.65
340,392189.71,412012.48,28129.19,356946.53
341,523959.61,456167.93,54024.47,929993.1
342,542757.69,598999.54,19937.37,567128.35
343,441378.54,417345.85,158619.24,511257.72
344,481640.5,437519.13,76968.77,412337.44
345,395809.45,434074.88,62653.24,336140.29
346,442953.63,411170.87,118805.34,350453.99
347,301370.11,430969.31,76567.04,340413.35
348,391407.8,375885.32,58949.44,432793.74
349,498009.41,555212.94,32549.54,378421.16
350,476200.27,368078.78,44102.89,498814.42
351,410209.79,400473.22,52099.38,367559.7
352,391858.35,373321.19,32627.29,576679.79
353,563572.38,511597.32,22153.31,379373.53
354,456129,408097.84,29567.32,427153.6
355,485413.24,424407.26,22504.41,370069.88
356,395941.56,454404.23,38897.68,393243.39
357,502816.75,405038.54,34176.87,366712
358,549554.53,436529.52,19949.43,491057.03
359,361757.91,352122.11,15822.57,405552.03
360,342032.86,444020.93,36286.45,421188.24
361,505576.69,500983.98,33527.46,492002.04
362,521194.45,593660.41,78377.22,506308.48
363,388578.87,518094.19,45807.83,516466.14
364,371699.43,467337.29,42918.39,443657.95
365,422719.43,485703.4,49391.3,509480.72
366,429488.44,491390.99,27440.22,456998.27
367,460191.39,661433.42,50818.66,454417.22
368,455604.34,500312.26,86282.69,433139.52
369,343245.11,473809.25,56077.19,346486.09
370,380937.07,474238.91,28219.1,474358.26
371,473182.05,419930.39,26444.33,354864.25
372,403559.52,391106.35,25171.08,470384.3
373,381530.86,438241.76,42369.89,461949.85
374,422014.55,469555.7,40791.03,357638.45
375,421138.39,354931.89,41845.92,413158.93
376,396534.94,407090.95,40715.19,439836.13
377,534282.35,368532.49,46417.52,459765.7
378,407691.41,462940.58,34670.49,396860.02
379,510730.8,464548.91,36116.27,397237.38
380,397122.11,545477.04,28922.16,363236.32
381,572366.92,416949.89,40075.12,453250.31
382,546571.22,543834.22,86436.98,407734.68
383,451041.31,422326.73,26742.29,371464.02
384,413552.5,492064.8,29593.75,517918.46
385,405769.84,546269.37,32385.07,353082.03
386,454378.68,445474.55,33795.59,440054.52
387,506746.29,395150.59,49628.38,374828.65
388,439353.22,402053.89,42614.22,658434.24
389,403143.01,424731.67,34117.75,479853.65
390,490366.79,491709.21,63668.06,568875.5
391,467183.43,416989.07,48736.95,536788.84
392,430749.09,423185.63,28910.25,416552.47
393,391766.02,417723.6,53163.21,614244.81
394,416273.64,430132.52,43444.92,376745.75
395,427459.29,458980.23,55308.57,478954.29
396,422598.83,534947.73,47442.72,354141.44
397,368615.61,485969.07,44784.78,486360.53
398,493714.42,323545.97,34651.99,509453
399,539295.44,441558.53,54404.51,392851.94
400,296590.84,449675.44,22100.77,417569.12
401,448844.76,407548.64,27094.17,389489.76
402,454131.19,504466.86,41859.33,404077.45
403,447062.37,513159.12,19722.91,357925.24
404,458931.48,370729.59,35542.31,380065.16
405,455255.79,492562.66,26768.82,495163.97
406,422603.23,524610.09,35157.14,387875.17
407,419082.26,445631.25,64273.72,399227.55
408,447358.87,474731.92,39517.48,599272.01
409,498922.49,591807.25,34528.99,352274.7
410,374117.44,491711.31,20897.96,460790.21
411,361505.39,435739.37,50727.18,526098.26
412,437642.31,478300.17,58687.99,334444.97
413,351337.39,320319.9,41157.28,408532.45
414,434126.65,395357.3,116846.48,513129.55
415,409435.56,399129.18,54760.12,402462.56
416,428757.33,394716.9,51455.78,356792.7
417,406152.73,565950.21,120452.55,469965.78
418,440706.6,468637.86,37792.21,301104.39
419,485040.2,600459.79,60082.5,558009.07
420,524940.63,429769.66,33517.71,411654.25
421,374849.35,415779.55,30615.89,431961.88
422,414598.72,615076.71,74799.58,462104.19
423,402912.47,448843.58,108782.89,707293.89
424,367385.07,514205.17,53156.58,607570.33
425,458682.21,483763.12,73133.53,412962.95
426,398724.91,520423.47,45104.19,507475.48
427,453663.64,499195.38,51845.61,737602.22
428,517142.76,449569.41,39062.3,337891.61
429,400996.9,390429.95,40188.27,410905.22
430,479828.52,528689,81590.4,377044.08
431,376993.47,498444.65,19328.44,308741.7
432,414856.4,413451.44,41008.55,408314.51
433,354984.61,469401.55,58739.23,505746.34
434,370809.23,351462.94,33585.04,455472.16
435,577803.55,488117.13,54250.33,407438.13
436,441204.59,406710.18,34030.54,493402.67
437,403414.09,478316.86,32778.05,560766.25
438,365562.57,423404.71,26628.63,415203.13
439,453104.18,529815.3,35773.94,371863.97
440,490391.28,504377.07,72289.81,402322.1
441,351600.75,466716.45,51336.99,409833.96
442,431982.91,417053.43,141306.13,411167.81
443,500769.33,512325.42,82864.56,418039.07
444,396844.15,453246.46,37805.05,351246.55
445,500557.72,508831.64,43374.2,400448.47
446,417224.97,463932.75,46858.48,461585.9
447,503546.43,445360.63,38013.77,415634.99
448,507050.62,403667.3,61178.4,395317.57
449,347417.43,345975.62,48314.04,477444.66
450,465189.96,339469.57,62583.22,379387.66
451,388906.99,486566.05,28685.86,434633.26
452,467375.89,450561.14,122495.68,537723.9
453,426669.54,459305.61,29333.4,455571.64
454,473595.92,444418.68,22391.37,511616.41
455,524522.91,525675.11,42283.92,485490.5
456,425952.27,525220.63,37256.22,441294.95
457,539751.2,451392.85,27707.82,379256.98
458,402109.96,471113.48,33018.89,412680.14
459,545663.96,419939.92,39476.99,358653.44
460,436016.87,440080.1,28393.56,614836.42
461,397731.75,451456.66,31810.18,377539.55
462,511846.06,452277.93,28496.28,400878.12
463,498269.2,469962.51,62289.75,352185.67
464,392715.63,413883.53,78802.08,501300.53
465,718513.4,380828.1,60038.4,393803.09
466,379545.24,379873.89,32317.64,404008.66
467,582582.47,441572.74,51038.42,551101.38
468,365593.5,525094.29,39719.78,313957.76
469,371387.34,387113.01,35848.45,309165.59
470,546716.06,423680.43,50383.04,425082.29
471,414343.72,483018.58,42095.46,536108.02
472,424908.85,429899.73,48815.88,497952.59
473,466102.67,471985.11,35924.35,376208.57
474,407356.02,428219.25,55215.51,454167.44
475,362499.3,431126.26,34029.37,456198.59
476,382865.59,574684.01,46384.45,427137.62
477,364468.2,378026.6,22526.42,462555.23
478,431587.14,454043.97,34671.12,393816.97
479,396456.63,378518.16,59008.6,533112.22
480,405966.96,394092.21,28664.21,501338.56
481,402144.28,414731.14,46375.2,357223.74
482,408087.61,489197.74,125619.88,338142.82
483,478338.41,444943.96,62027.37,431753.71
484,461041.79,497155.46,39164.73,523732.71
485,430497.36,484980.52,49470.38,540583.07
486,455649.66,601776.97,24495.29,422665.01
487,347708.69,525624.74,40010.93,477064.47
488,396217.96,496807.89,25550.85,429447.03
489,610947.38,525613.93,28275.32,506848.14
490,444399.78,507735.1,20692.28,395656.44
491,365340.51,405985.56,50835,492431.45
492,380590.51,564174.87,48412.5,589195.62
493,368259.94,391620.66,40798.92,519277.87
494,422572.16,377376.29,34456.64,404545.97
495,427108.66,400149.31,27744.55,633425.92
496,440127.38,621752.86,44242.19,461815.28
497,379055.04,457362.09,23367.97,428832.38
498,473720.36,381564.5,20074.07,448850.89
499,482076.86,475785.72,54324.82,550442.4
500,480470.13,359938.38,33341.93,622744.42
501,494493.31,493661.63,50724.87,456480.23
502,458600.68,334406.92,44309.14,360126.02
503,538018.86,362707.41,61824.73,467163.06
504,498419.23,517065.73,30777.02,535465.24
505,405635.65,502378.86,156765.19,512683.3
506,432956.92,461558.52,35564.15,366371.85
507,503908.38,305628.06,31768.19,604695.2
508,520363.49,429607.71,44307.49,554061.56
509,433532,445022.94,53101.16,404256.11
510,392110.85,459794.77,27692.49,400384.16
511,402369.33,532083.12,32886.8,532027.64
512,321060.9,486414.58,38919.24,436337.55
513,375755.77,450845.35,23506.61,401087.26
514,493402.15,398157.59,54202.16,521486.2
515,338899.27,570712.63,27072.66,381070.06
516,290606.86,378543.92,29695.85,602677.54
517,369668.54,367939.67,49553.02,317862.23
518,495558.99,469903.47,34943.61,428738.62
519,406434.74,416374.67,24176.66,512247.63
520,393643.72,421251.12,51179.16,420245.88
521,412958.18,422023.1,23375.82,355267.09
522,488163.61,427983.39,22409.32,428666.2
523,464184.26,512433.87,36333.17,391339.67
524,443761.55,394952.5,56263.38,458955.94
525,506053.44,396152.11,53005.92,377152.28
526,479832.83,402407.66,35012.91,423642.4
527,364539.57,569355.93,66232.11,623809.94
528,567502.81,517860.73,62303.04,413108.73
529,385739.58,424534.36,34791.32,563473.32
530,437389.62,422982.1,33741.46,593234.87
531,371787.61,494222.31,33336.04,766326.25
532,452385.2,401381.29,122095.88,340544.03
533,394030.12,455210.2,34690.05,483105.65
534,573952.64,466514.33,39294.35,733383.79
535,734804.03,496501.67,41595.16,430188.19
536,435337.69,500667.03,91731.58,462741.7
537,453684.98,461308.8,27098.2,414852.06
538,352781.4,562805.25,52298.17,528625.37
539,367265.43,520418.13,31857.52,444083.36
540,479852.38,432965.01,29933.36,409967.58
541,330348.39,557231.38,33029.68,469226.77
542,497720.71,414734.2,27053.7,483234.05
543,576050.35,414340.23,45394.28,480709.69
544,477183.02,428570.06,31275.13,418314.81
545,395276.48,434154.73,28082.11,456351.5
546,409391.15,471263.09,46788.98,495486.91
547,450684.04,500499.33,26474.73,470403.77
548,411755.66,456324.75,49376.29,318818.86
549,460393.54,527603.14,32938.35,424306.87
550,384270.81,560078.88,156281.86,368428.74
551,323112.61,398955.83,19472.68,474235.52
552,366388.75,597666.38,27500.56,413572.21
553,448130.12,421436.2,39928.4,421224.8
554,456936.86,377679.46,24210.66,312247.78
555,425673.17,456324.81,26794.96,475870.07
556,461941.3,415065.86,36810.6,469933.33
557,477002.02,374207.95,40019.31,330798.15
558,490334.26,489317.08,23573.76,507351.13
559,483779.66,407132.29,35830.54,478821.29
560,382818.34,504987.99,35537.03,614177.25
561,618883.28,480574.11,22215.48,467401.24
562,326572.6,447479.35,48091.54,513000.6
563,392956.76,451389.14,47866.65,632766.81
564,348348.67,405161.05,26697.27,373533.09
565,445698.84,537053.61,72349.12,305024.5
566,403890.01,458419.28,56685.27,420254.38
567,446357.2,292189.25,61368.48,354319.22
568,644400.35,445179.96,42149.59,399049.2
569,392128.99,549187.7,38842.06,373111.03
570,462271.56,455581.68,106500.9,508059.97
571,533497.4,458252.57,45672.15,435046.72
572,495497.51,478573.26,33207.83,416656.88
573,363879.71,546037.35,110157.85,406804.9
574,411861.04,402531.48,41433.71,536927.6
575,401595.02,504518.82,30303.68,400797.43
576,541391.74,393003.83,60235.4,458011.37
577,411577.3,513231.74,22037.44,463158.53
578,419967.5,483470.86,45145.41,421645.06
579,376653.43,467724.21,33415.57,410000.64
580,565230.07,461277.74,44467.34,451854.07
581,547307.02,473268.6,35222.84,592487.59
582,430695.34,674820.49,18204.65,396032.78
583,600365.39,423997.52,44183.01,380537.86
584,398536.98,413718.09,56228.06,452367.02
585,388130.15,464491.34,56466.59,434032.79
586,320741.29,563471.11,39712.28,469760.38
587,458055.42,441188.83,36108.06,539767.73
588,401615.67,544482.52,55958.15,515666.99
589,454361.96,338279.99,24901.49,467895.58
590,366472.71,554934.7,38170.56,331505.4
591,469606.87,439452.78,59601.83,562094.1
592,368262.03,418716.67,36375.85,448060.63
593,432192.84,451461.42,69673.01,428361.21
594,422896.71,364037.24,35482.08,659520.56
595,459291.44,605624.31,26229.74,406002.48
596,386579.96,503675.87,31042.99,502623.27
597,413545.85,433685.81,26278.45,558210.07
598,420542.02,374106.02,56661.56,442199.02
599,326523.24,531784.26,44369.65,423919.75
600,503053.88,406191.04,39227.81,424693.84
601,345442.58,459239.19,52411.87,317903.79
602,393755.01,426637.61,36299.74,522292.88
603,422106.99,372323.99,43142.31,477899.97
604,364175.69,329365.64,19493.91,403658.89
605,407127.1,533377.61,47911.35,398045.66
606,439109.28,520645.42,32012.04,559476.77
607,504907.43,414910.97,26076.09,642083.48
608,539775.33,476243.2,41635.18,437558.86
609,525876.07,500328.06,42286.67,483064.54
610,488339.9,391375.75,80753.4,429618.74
611,510290.33,444299.17,32908.48,382217.22
612,615709.24,574158.34,29571.7,483893.06
613,462035.54,463478.38,36574.33,445127.79
614,526666.49,487347.45,47813.91,371793.11
615,438041.1,363681.88,39510.31,465893.05
616,401967.1,536025.11,40936.46,616875.24
617,374923.92,380904.04,55928.82,386426.95
618,429415.02,684027.24,40247.68,349509.18
619,572839.53,409256.77,18741.52,364863.17
620,524364.08,351159.71,30754.61,459996.34
621,428841.17,497284.21,48552.78,481795.04
622,438707.87,333420.81,45498.46,440686.57
623,384496.02,417078.13,56628.11,408536.99
624,405310.72,395831.21,9422.18,391805.75
625,434162.11,362495.86,27888.78,409175.36
626,411353.19,362627.59,78336.77,498172.34
627,443554.63,404003.07,21262.97,475765.77
628,495379.27,412259.91,29514.43,441540.31
629,426416.83,366512.16,54213.4,472885.27
630,444284.27,522557.7,35761.25,333089.78
631,331673.42,488448.81,199269.32,388680.82
632,412514.3,472007.73,40118.61,503041.87
633,413367.57,419077.45,47953.74,445430.67
634,537149.1,391857.49,50434.45,398063.32
635,477425.65,371911.04,122101.5,320127.81
