"sim","solar_system_original","agg_loss","claim_count"
117,"Bayesia System",1968494299.44565,542
117,"Helionis Cluster",1420183853.78234,536
117,"Oryn Delta",1072228138.16908,306
118,"Bayesia System",1261635866.72151,427
118,"Helionis Cluster",1763459770.0404,563
118,"Oryn Delta",1129848293.91558,403
119,"Bayesia System",879319808.581036,464
119,"Helionis Cluster",1335010849.34947,548
119,"Oryn Delta",1481220370.76018,381
120,"Bayesia System",1397950176.53606,525
120,"Helionis Cluster",1626329523.39757,593
120,"Oryn Delta",931090262.895503,350
121,"Bayesia System",1419371141.51962,474
121,"Helionis Cluster",1363450228.21161,542
121,"Oryn Delta",739807597.745279,330
122,"Bayesia System",1260229878.49925,453
122,"Helionis Cluster",2452730235.02598,705
122,"Oryn Delta",743345169.11356,335
123,"Bayesia System",1479151524.3881,488
123,"Helionis Cluster",1182114255.38424,510
123,"Oryn Delta",1757846528.41708,341
124,"Bayesia System",1626843418.9341,479
124,"Helionis Cluster",1835415713.95277,578
124,"Oryn Delta",993602725.911767,411
125,"Bayesia System",1567310879.81732,478
125,"Helionis Cluster",1320382423.17445,504
125,"Oryn Delta",1112238368.66495,347
126,"Bayesia System",1093814420.22631,477
126,"Helionis Cluster",1790243873.13735,512
126,"Oryn Delta",1298278680.82532,445
127,"Bayesia System",1214468839.64664,438
127,"Helionis Cluster",1349803721.04569,521
127,"Oryn Delta",726333867.413428,338
128,"Bayesia System",1848991857.18446,469
128,"Helionis Cluster",1481459099.63226,609
128,"Oryn Delta",713658792.625228,341
129,"Bayesia System",1611546571.92636,472
129,"Helionis Cluster",1230588510.49552,525
129,"Oryn Delta",1129964019.49167,372
130,"Bayesia System",950436839.422501,481
130,"Helionis Cluster",1367546760.03306,526
130,"Oryn Delta",1358261661.15763,490
131,"Bayesia System",2306909283.25096,504
131,"Helionis Cluster",1223415050.36693,451
131,"Oryn Delta",1431368816.77846,328
132,"Bayesia System",1108821168.19214,434
132,"Helionis Cluster",1149864969.15516,572
132,"Oryn Delta",802663978.463118,389
133,"Bayesia System",1053411862.17688,501
133,"Helionis Cluster",1593204655.56152,671
133,"Oryn Delta",825755794.322338,386
134,"Bayesia System",1490811772.32381,538
134,"Helionis Cluster",2373826511.67577,635
134,"Oryn Delta",1250136704.64899,407
135,"Bayesia System",1454700288.87809,477
135,"Helionis Cluster",1764963732.41747,459
135,"Oryn Delta",587485382.950043,308
136,"Bayesia System",765585692.936733,448
136,"Helionis Cluster",1554721095.8645,484
136,"Oryn Delta",1633318337.30706,406
137,"Bayesia System",1425102290.38805,490
137,"Helionis Cluster",1331701552.5845,533
137,"Oryn Delta",738847678.075904,356
138,"Bayesia System",1354337820.49693,490
138,"Helionis Cluster",1092132814.25017,535
138,"Oryn Delta",844834702.082284,336
139,"Bayesia System",1292051493.00078,433
139,"Helionis Cluster",1628499826.17167,548
139,"Oryn Delta",848731026.039554,336
140,"Bayesia System",1538075195.14491,506
140,"Helionis Cluster",1361290256.74207,533
140,"Oryn Delta",1490502651.64232,446
141,"Bayesia System",1011875816.15791,401
141,"Helionis Cluster",2086883983.24678,571
141,"Oryn Delta",1050128886.80872,344
142,"Bayesia System",894294848.376815,451
142,"Helionis Cluster",2250168419.05201,541
142,"Oryn Delta",893965954.959966,355
143,"Bayesia System",1217536067.10462,467
143,"Helionis Cluster",2136674208.92382,612
143,"Oryn Delta",924838590.10846,394
144,"Bayesia System",1389859249.59363,472
144,"Helionis Cluster",1616256127.36789,591
144,"Oryn Delta",815958482.947792,312
145,"Bayesia System",2157641298.2027,515
145,"Helionis Cluster",1127792964.8506,511
145,"Oryn Delta",740330506.552126,373
146,"Bayesia System",2271608631.18954,530
146,"Helionis Cluster",1048530156.38043,479
146,"Oryn Delta",537513651.342871,310
147,"Bayesia System",1004681590.36629,490
147,"Helionis Cluster",1089039586.0739,532
147,"Oryn Delta",1540024321.44827,326
148,"Bayesia System",1615768809.74442,511
148,"Helionis Cluster",1396890025.71383,572
148,"Oryn Delta",1233656194.58012,372
149,"Bayesia System",1439843037.4858,555
149,"Helionis Cluster",1331878648.49966,589
149,"Oryn Delta",760238347.074039,374
150,"Bayesia System",1370470810.34046,533
150,"Helionis Cluster",1243746926.14166,455
150,"Oryn Delta",1534063771.53375,325
151,"Bayesia System",1841509523.78402,518
151,"Helionis Cluster",1848569934.90403,570
151,"Oryn Delta",1491934503.27569,363
152,"Bayesia System",1252267851.93052,461
152,"Helionis Cluster",1703963406.17568,588
152,"Oryn Delta",693239373.196834,330
153,"Bayesia System",800150956.978575,404
153,"Helionis Cluster",1801407407.59466,549
153,"Oryn Delta",1116610527.38629,346
154,"Bayesia System",1110332124.14998,512
154,"Helionis Cluster",1723424994.44073,627
154,"Oryn Delta",893140242.911205,330
155,"Bayesia System",1616919107.01068,500
155,"Helionis Cluster",1602844327.88244,563
155,"Oryn Delta",1079646474.97238,399
156,"Bayesia System",1338538355.20555,495
156,"Helionis Cluster",1409407012.45188,595
156,"Oryn Delta",1081224299.38539,322
157,"Bayesia System",1209378270.90791,524
157,"Helionis Cluster",1149368715.43669,436
157,"Oryn Delta",943215939.828707,418
158,"Bayesia System",1912427959.62153,586
158,"Helionis Cluster",1487356785.09444,613
158,"Oryn Delta",667608562.743531,339
159,"Bayesia System",1515787952.03466,567
159,"Helionis Cluster",1640844813.81088,501
159,"Oryn Delta",848738756.120684,352
160,"Bayesia System",1415539871.04812,472
160,"Helionis Cluster",1211285047.44504,540
160,"Oryn Delta",1765673905.54071,443
161,"Bayesia System",1681894573.55427,398
161,"Helionis Cluster",2374146952.4235,505
161,"Oryn Delta",842881462.255005,338
162,"Bayesia System",1530064173.25599,503
162,"Helionis Cluster",1546165898.56151,567
162,"Oryn Delta",973629536.544562,365
163,"Bayesia System",1593500404.67687,406
163,"Helionis Cluster",1035918545.06274,535
163,"Oryn Delta",1184287929.64476,398
164,"Bayesia System",875355863.05542,472
164,"Helionis Cluster",1852602394.56606,546
164,"Oryn Delta",805879897.627762,331
165,"Bayesia System",1090794879.57678,503
165,"Helionis Cluster",1938455005.72706,625
165,"Oryn Delta",776679240.014097,407
166,"Bayesia System",1280685226.58504,492
166,"Helionis Cluster",1339024183.12122,537
166,"Oryn Delta",993842281.16955,314
167,"Bayesia System",1117936504.64779,521
167,"Helionis Cluster",2310292127.67582,522
167,"Oryn Delta",1048236376.34477,321
168,"Bayesia System",1524737023.1999,544
168,"Helionis Cluster",2570506500.57702,576
168,"Oryn Delta",652045764.250814,343
169,"Bayesia System",1696507743.03545,491
169,"Helionis Cluster",1591518335.77901,596
169,"Oryn Delta",1033319580.4064,300
170,"Bayesia System",845869980.758326,440
170,"Helionis Cluster",1235143407.04914,554
170,"Oryn Delta",896677190.784384,359
171,"Bayesia System",1127031850.57732,476
171,"Helionis Cluster",1701788054.53709,491
171,"Oryn Delta",967321062.042671,370
172,"Bayesia System",1534106918.35052,414
172,"Helionis Cluster",1263518473.32302,565
172,"Oryn Delta",2028211612.42364,405
173,"Bayesia System",1382574090.33396,485
173,"Helionis Cluster",1585590114.84477,568
173,"Oryn Delta",813961357.890754,337
174,"Bayesia System",984198530.51287,482
174,"Helionis Cluster",1363876925.69687,534
174,"Oryn Delta",863331361.831755,426
175,"Bayesia System",913040836.382458,424
175,"Helionis Cluster",1288157539.10954,570
175,"Oryn Delta",658985330.402452,318
176,"Bayesia System",1064172887.21799,489
176,"Helionis Cluster",1719715213.87458,597
176,"Oryn Delta",1194459526.94014,445
177,"Bayesia System",1458515429.27947,475
177,"Helionis Cluster",1897624335.21804,600
177,"Oryn Delta",1460332573.31905,365
178,"Bayesia System",1305395774.99739,458
178,"Helionis Cluster",2916562942.63698,562
178,"Oryn Delta",964297929.989363,418
179,"Bayesia System",1793154793.9702,533
179,"Helionis Cluster",2235062492.91904,495
179,"Oryn Delta",720313653.853297,354
180,"Bayesia System",1239122992.20885,422
180,"Helionis Cluster",1324694129.87327,563
180,"Oryn Delta",1163598230.87022,430
181,"Bayesia System",1147903235.6553,480
181,"Helionis Cluster",1338725446.3071,526
181,"Oryn Delta",672296525.81797,397
182,"Bayesia System",1294347826.74486,461
182,"Helionis Cluster",1525497358.33495,594
182,"Oryn Delta",1245439699.07028,416
183,"Bayesia System",1379398714.8862,473
183,"Helionis Cluster",1216498282.44308,513
183,"Oryn Delta",1568184916.62155,405
184,"Bayesia System",1390004129.37623,560
184,"Helionis Cluster",1515314289.91037,554
184,"Oryn Delta",858484737.336372,387
185,"Bayesia System",1617128231.28273,496
185,"Helionis Cluster",1642122777.97771,571
185,"Oryn Delta",1401760798.54169,358
186,"Bayesia System",1339279675.34167,481
186,"Helionis Cluster",2378009560.65345,531
186,"Oryn Delta",807837409.80206,380
187,"Bayesia System",1470150682.35274,427
187,"Helionis Cluster",1268081601.67622,557
187,"Oryn Delta",1048224922.79432,415
188,"Bayesia System",1626360033.2224,512
188,"Helionis Cluster",1867724948.02734,558
188,"Oryn Delta",795486020.351428,411
189,"Bayesia System",1407446703.00177,509
189,"Helionis Cluster",1336975219.18501,603
189,"Oryn Delta",853530967.771587,373
190,"Bayesia System",2832912269.69296,548
190,"Helionis Cluster",1645866059.34574,621
190,"Oryn Delta",1271310302.1075,378
191,"Bayesia System",1053492885.5437,472
191,"Helionis Cluster",1079026399.16521,526
191,"Oryn Delta",793428114.606278,348
192,"Bayesia System",1150951215.31258,462
192,"Helionis Cluster",1555372901.02187,613
192,"Oryn Delta",977599156.516418,366
193,"Bayesia System",1222749447.90354,473
193,"Helionis Cluster",1146569429.74695,500
193,"Oryn Delta",872502627.626592,418
194,"Bayesia System",1220661764.24503,548
194,"Helionis Cluster",1857410373.20089,545
194,"Oryn Delta",1259386385.77675,303
195,"Bayesia System",1220506288.49573,463
195,"Helionis Cluster",1238584896.45354,519
195,"Oryn Delta",984521482.32381,424
196,"Bayesia System",2185756351.7224,520
196,"Helionis Cluster",1826165505.98468,646
196,"Oryn Delta",844872262.85388,398
197,"Bayesia System",1609377299.31138,520
197,"Helionis Cluster",2140644166.30691,526
197,"Oryn Delta",1004638129.46242,424
198,"Bayesia System",1299121594.82186,554
198,"Helionis Cluster",1313442333.89503,498
198,"Oryn Delta",1125017833.39663,373
199,"Bayesia System",1189237655.631,491
199,"Helionis Cluster",2037585347.13137,518
199,"Oryn Delta",1164276690.68383,410
200,"Bayesia System",1239546490.08338,464
200,"Helionis Cluster",1698962429.23029,616
200,"Oryn Delta",1370334306.08469,486
201,"Bayesia System",1291432482.49573,543
201,"Helionis Cluster",1664169955.16288,651
201,"Oryn Delta",955771625.313598,362
202,"Bayesia System",1727742180.5949,494
202,"Helionis Cluster",1176226943.97507,506
202,"Oryn Delta",1041551177.48261,336
203,"Bayesia System",1214893488.13643,517
203,"Helionis Cluster",861760518.780426,486
203,"Oryn Delta",747405835.031483,361
204,"Bayesia System",1307451326.76565,599
204,"Helionis Cluster",1577601248.79015,484
204,"Oryn Delta",850414641.669624,321
205,"Bayesia System",1678783997.2662,539
205,"Helionis Cluster",1303079959.14363,490
205,"Oryn Delta",803618643.725768,330
206,"Bayesia System",1228620927.89729,496
206,"Helionis Cluster",1425643772.96053,522
206,"Oryn Delta",993422782.519254,368
207,"Bayesia System",1002514608.3421,459
207,"Helionis Cluster",1327160398.07956,555
207,"Oryn Delta",922027712.917625,333
208,"Bayesia System",1184448372.41398,537
208,"Helionis Cluster",1225366029.99956,512
208,"Oryn Delta",853483584.903952,345
209,"Bayesia System",2119045600.54485,591
209,"Helionis Cluster",2087695366.21972,673
209,"Oryn Delta",965581865.748662,395
210,"Bayesia System",1015849530.52527,467
210,"Helionis Cluster",1503150660.18901,626
210,"Oryn Delta",705780279.946647,376
211,"Bayesia System",2212419786.45408,500
211,"Helionis Cluster",1497560112.98206,617
211,"Oryn Delta",597834253.038081,332
212,"Bayesia System",1494290856.39666,488
212,"Helionis Cluster",3955801573.05216,578
212,"Oryn Delta",1325971388.59109,456
213,"Bayesia System",1288560839.82609,498
213,"Helionis Cluster",901292875.247239,490
213,"Oryn Delta",1034102364.49536,347
214,"Bayesia System",973904430.956407,456
214,"Helionis Cluster",1709757905.96138,557
214,"Oryn Delta",1077166662.55894,387
215,"Bayesia System",1714450971.06455,449
215,"Helionis Cluster",1304258648.15296,519
215,"Oryn Delta",1005240042.86929,362
216,"Bayesia System",1049354925.04784,441
216,"Helionis Cluster",1415593523.80457,537
216,"Oryn Delta",855907191.022574,367
217,"Bayesia System",1574540342.68332,599
217,"Helionis Cluster",1500258631.09901,482
217,"Oryn Delta",930994286.877355,392
218,"Bayesia System",1298869262.08338,465
218,"Helionis Cluster",1891390554.21981,618
218,"Oryn Delta",965097538.827769,394
219,"Bayesia System",1243613950.93846,415
219,"Helionis Cluster",1303289718.62499,532
219,"Oryn Delta",1124738497.21031,368
220,"Bayesia System",1892060668.60407,603
220,"Helionis Cluster",1499296789.15855,534
220,"Oryn Delta",572081734.641081,342
221,"Bayesia System",1414600862.93537,500
221,"Helionis Cluster",1441430213.26278,538
221,"Oryn Delta",679001854.813745,344
222,"Bayesia System",1878122635.1812,506
222,"Helionis Cluster",1664402755.31859,557
222,"Oryn Delta",887653437.823618,431
223,"Bayesia System",1145065575.16953,484
223,"Helionis Cluster",1303538290.81894,576
223,"Oryn Delta",1096272923.04195,373
224,"Bayesia System",1163886205.09959,519
224,"Helionis Cluster",2503824332.46095,570
